Dataset 1,Dataset 2,Lag months,Pearson,Spearman,Overlapping observations,Aligned start,Aligned end
Industrial Production,Real Personal Consumption Expenditure,12,-0.042163721297373426,-0.11575432755233689,234,2007-02-01,2026-07-01
Industrial Production,Real Personal Income excluding transfers,-12,0.0245910769962244,-0.026618588625604914,798,1959-02-01,2025-07-01
Industrial Production,Real Personal Income excluding transfers,-11,0.04473728043315492,0.08204775519474387,799,1959-02-01,2025-08-01
Industrial Production,Real Personal Income excluding transfers,-10,0.10819818333651399,0.05029337965934349,800,1959-02-01,2025-09-01
Industrial Production,Real Personal Income excluding transfers,-9,0.027032427883546945,0.07002587205923552,801,1959-02-01,2025-10-01
Industrial Production,Real Personal Income excluding transfers,-8,0.01654507316208718,0.041768785494303066,802,1959-02-01,2025-11-01
Industrial Production,Real Personal Income excluding transfers,-7,0.032660369079758056,0.06359652707182833,803,1959-02-01,2025-12-01
Industrial Production,Real Personal Income excluding transfers,-6,0.04377496151850747,0.08157935646200297,804,1959-02-01,2026-01-01
Industrial Production,Real Personal Income excluding transfers,-5,0.03341671780349751,0.08964219458194782,805,1959-02-01,2026-02-01
Industrial Production,Real Personal Income excluding transfers,-4,0.0278652194874684,0.07079149143202684,806,1959-02-01,2026-03-01
Industrial Production,Real Personal Income excluding transfers,-3,-0.011358503244697473,0.14339499412711806,807,1959-02-01,2026-04-01
Industrial Production,Real Personal Income excluding transfers,-2,0.00871790352422347,0.16403397570443443,808,1959-02-01,2026-05-01
Industrial Production,Real Personal Income excluding transfers,-1,0.21117077148388075,0.2128406466219588,809,1959-02-01,2026-06-01
Industrial Production,Real Personal Income excluding transfers,0,0.4714868292935603,0.4191114587275276,810,1959-02-01,2026-07-01
Industrial Production,Real Personal Income excluding transfers,1,0.15598218404141143,0.25863034704976123,810,1959-02-01,2026-07-01
Industrial Production,Real Personal Income excluding transfers,2,0.058430650779958446,0.2100919515143856,810,1959-02-01,2026-07-01
Industrial Production,Real Personal Income excluding transfers,3,0.09032996199402811,0.21102115862382084,810,1959-02-01,2026-07-01
Industrial Production,Real Personal Income excluding transfers,4,0.06413223119764948,0.17912368000879092,810,1959-02-01,2026-07-01
Industrial Production,Real Personal Income excluding transfers,5,0.06044863972150512,0.15299668333136424,810,1959-02-01,2026-07-01
Industrial Production,Real Personal Income excluding transfers,6,0.0319497696883324,0.16343949540270652,810,1959-02-01,2026-07-01
Industrial Production,Real Personal Income excluding transfers,7,0.08206891987173083,0.15709892108704981,810,1959-02-01,2026-07-01
Industrial Production,Real Personal Income excluding transfers,8,0.10032956458931874,0.20281182837985115,810,1959-02-01,2026-07-01
Industrial Production,Real Personal Income excluding transfers,9,0.1095751788829429,0.1928804793228782,810,1959-02-01,2026-07-01
Industrial Production,Real Personal Income excluding transfers,10,0.13224733213618156,0.21793028986722077,810,1959-02-01,2026-07-01
Industrial Production,Real Personal Income excluding transfers,11,0.009002800714264885,0.08497954258020762,810,1959-02-01,2026-07-01
Industrial Production,Real Personal Income excluding transfers,12,-0.021416428127331123,0.03151842560976669,810,1959-02-01,2026-07-01
Industrial Production,Real Personal Income,-12,0.010824108160021818,-0.02019016551530021,798,1959-02-01,2025-07-01
Industrial Production,Real Personal Income,-11,0.07107013604099013,0.07272201196468574,799,1959-02-01,2025-08-01
Industrial Production,Real Personal Income,-10,-0.04686726822704501,0.05185633523561952,800,1959-02-01,2025-09-01
Industrial Production,Real Personal Income,-9,0.04228380638294109,0.07465969950276288,801,1959-02-01,2025-10-01
Industrial Production,Real Personal Income,-8,0.028824192557637025,0.05642489394319676,802,1959-02-01,2025-11-01
Industrial Production,Real Personal Income,-7,0.012829517677431922,0.029149955710700223,803,1959-02-01,2025-12-01
Industrial Production,Real Personal Income,-6,-0.0044349420444544894,0.040108816237505666,804,1959-02-01,2026-01-01
Industrial Production,Real Personal Income,-5,0.02375679035030894,0.07874519760566263,805,1959-02-01,2026-02-01
Industrial Production,Real Personal Income,-4,0.03596300996723267,0.09226597061021517,806,1959-02-01,2026-03-01
Industrial Production,Real Personal Income,-3,0.0642805540700534,0.13788479586671315,807,1959-02-01,2026-04-01
Industrial Production,Real Personal Income,-2,0.1313547650541306,0.12678343441429168,808,1959-02-01,2026-05-01
Industrial Production,Real Personal Income,-1,-0.009272240594717545,0.16408645180801093,809,1959-02-01,2026-06-01
Industrial Production,Real Personal Income,0,0.004511207309738572,0.3273568545541702,810,1959-02-01,2026-07-01
Industrial Production,Real Personal Income,1,-0.05038495828008305,0.19103285841648251,810,1959-02-01,2026-07-01
Industrial Production,Real Personal Income,2,0.09214618308391648,0.1794739997711163,810,1959-02-01,2026-07-01
Industrial Production,Real Personal Income,3,0.02519482205127769,0.1174378218408989,810,1959-02-01,2026-07-01
Industrial Production,Real Personal Income,4,0.04345119485675542,0.14514966291023076,810,1959-02-01,2026-07-01
Industrial Production,Real Personal Income,5,0.06621775259266383,0.13770040314997858,810,1959-02-01,2026-07-01
Industrial Production,Real Personal Income,6,0.029393984919390836,0.1279068494682733,810,1959-02-01,2026-07-01
Industrial Production,Real Personal Income,7,0.10544211349264626,0.13836123386732138,810,1959-02-01,2026-07-01
Industrial Production,Real Personal Income,8,0.08050088623821545,0.1873146187192652,810,1959-02-01,2026-07-01
Industrial Production,Real Personal Income,9,-0.04014638895098412,0.14908554139884797,810,1959-02-01,2026-07-01
Industrial Production,Real Personal Income,10,0.049182543334055896,0.16372871327474528,810,1959-02-01,2026-07-01
Industrial Production,Real Personal Income,11,-0.28269108976420204,0.0525741121643855,810,1959-02-01,2026-07-01
Industrial Production,Real Personal Income,12,0.0646615990660446,-0.012639826953846831,810,1959-02-01,2026-07-01
Industrial Production,Real Retail & Food Services Sales,-12,-0.01495307581715281,-0.009234995545098957,402,1992-02-01,2025-07-01
Industrial Production,Real Retail & Food Services Sales,-11,0.01430419311557723,0.06321291363979552,403,1992-02-01,2025-08-01
Industrial Production,Real Retail & Food Services Sales,-10,0.14239108817324084,0.050209696537506,404,1992-02-01,2025-09-01
Industrial Production,Real Retail & Food Services Sales,-9,-0.07581143042653808,0.11584495618418147,404,1992-02-01,2025-09-01
Industrial Production,Real Retail & Food Services Sales,-8,-0.05058295534839315,-0.015572335444031143,404,1992-02-01,2025-09-01
Industrial Production,Real Retail & Food Services Sales,-7,0.08444534384017509,0.05529624640731202,405,1992-02-01,2025-12-01
Industrial Production,Real Retail & Food Services Sales,-6,0.044517703849066066,0.1151041823329906,406,1992-02-01,2026-01-01
Industrial Production,Real Retail & Food Services Sales,-5,0.027232662878268126,0.06588785938768686,407,1992-02-01,2026-02-01
Industrial Production,Real Retail & Food Services Sales,-4,-0.021992241322280375,0.08677330551345394,408,1992-02-01,2026-03-01
Industrial Production,Real Retail & Food Services Sales,-3,-0.05866495819659704,0.14883968969525757,409,1992-02-01,2026-04-01
Industrial Production,Real Retail & Food Services Sales,-2,0.047295355623224254,0.11378295428621361,410,1992-02-01,2026-05-01
Industrial Production,Real Retail & Food Services Sales,-1,0.36504735124409465,0.07358357662434159,411,1992-02-01,2026-06-01
Industrial Production,Real Retail & Food Services Sales,0,0.54294377654509,0.21569936834688982,412,1992-02-01,2026-07-01
Industrial Production,Real Retail & Food Services Sales,1,-0.28465565529185954,0.07105994427023428,413,1992-02-01,2026-08-01
Industrial Production,Real Retail & Food Services Sales,2,-0.21186127879158112,0.018952259791281904,413,1992-02-01,2026-08-01
Industrial Production,Real Retail & Food Services Sales,3,0.042075758069932245,0.11775571494988389,413,1992-02-01,2026-08-01
Industrial Production,Real Retail & Food Services Sales,4,-0.04614191330094573,0.0013383286359528502,413,1992-02-01,2026-08-01
Industrial Production,Real Retail & Food Services Sales,5,-0.010589538280225538,0.08182023255983317,413,1992-02-01,2026-08-01
Industrial Production,Real Retail & Food Services Sales,6,0.07485330126494551,0.06663033456043985,413,1992-02-01,2026-08-01
Industrial Production,Real Retail & Food Services Sales,7,0.0641277397856553,0.13324721173371742,413,1992-02-01,2026-08-01
Industrial Production,Real Retail & Food Services Sales,8,9.366541784594211e-05,-0.018800906772374743,413,1992-02-01,2026-08-01
Industrial Production,Real Retail & Food Services Sales,9,0.03538328380293509,-0.003743027444509894,413,1992-02-01,2026-08-01
Industrial Production,Real Retail & Food Services Sales,10,0.06188543966963314,0.040426587248776485,413,1992-02-01,2026-08-01
Industrial Production,Real Retail & Food Services Sales,11,-0.19949266327694415,-0.006839674438549083,413,1992-02-01,2026-08-01
Industrial Production,Real Retail & Food Services Sales,12,-0.05865839311626365,-0.019195940706922526,413,1992-02-01,2026-08-01
Industrial Production,Housing Starts,-12,0.028533571653726282,0.06457080962627178,798,1959-02-01,2025-07-01
Industrial Production,Housing Starts,-11,0.012737065117331544,0.028695365565000457,799,1959-02-01,2025-08-01
Industrial Production,Housing Starts,-10,0.09232802268505885,0.11785416877983033,800,1959-02-01,2025-09-01
Industrial Production,Housing Starts,-9,0.04747324412513298,0.03556388066566555,801,1959-02-01,2025-10-01
Industrial Production,Housing Starts,-8,-0.03282507266585279,-0.0165404883020971,802,1959-02-01,2025-11-01
Industrial Production,Housing Starts,-7,0.05365969318925988,0.08717903391368871,803,1959-02-01,2025-12-01
Industrial Production,Housing Starts,-6,0.09900833946182493,0.07967794955780186,804,1959-02-01,2026-01-01
Industrial Production,Housing Starts,-5,0.0762660492827927,0.08983477990693267,805,1959-02-01,2026-02-01
Industrial Production,Housing Starts,-4,0.017583514552995973,0.07668444185374257,806,1959-02-01,2026-03-01
Industrial Production,Housing Starts,-3,0.02620442381403797,0.04576129503363747,807,1959-02-01,2026-04-01
Industrial Production,Housing Starts,-2,0.07600851736581869,0.12412330469774938,808,1959-02-01,2026-05-01
Industrial Production,Housing Starts,-1,0.09762438221892497,0.06251567462909587,809,1959-02-01,2026-06-01
Industrial Production,Housing Starts,0,0.21604653324910733,0.10876038469064027,810,1959-02-01,2026-07-01
Industrial Production,Housing Starts,1,-0.0412379710992626,-0.04007196321546176,811,1959-02-01,2026-08-01
Industrial Production,Housing Starts,2,-0.10030380769292256,-0.05101973825425646,811,1959-02-01,2026-08-01
Industrial Production,Housing Starts,3,-0.08384692820687986,-0.055860494671489555,811,1959-02-01,2026-08-01
Industrial Production,Housing Starts,4,-0.0028618241482323684,-0.018664119751849725,811,1959-02-01,2026-08-01
Industrial Production,Housing Starts,5,-0.03302003161624479,-0.012593658316860988,811,1959-02-01,2026-08-01
Industrial Production,Housing Starts,6,-0.05741133688096665,-0.040464193706475894,811,1959-02-01,2026-08-01
Industrial Production,Housing Starts,7,-0.0009276880993620813,-0.0024766425308434706,811,1959-02-01,2026-08-01
Industrial Production,Housing Starts,8,-0.04151183938857415,-0.029645054970957294,811,1959-02-01,2026-08-01
Industrial Production,Housing Starts,9,-0.03995962435557893,-0.023475191733585653,811,1959-02-01,2026-08-01
Industrial Production,Housing Starts,10,-0.012011849997648923,-0.04186116191325879,811,1959-02-01,2026-08-01
Industrial Production,Housing Starts,11,-0.0662672177091226,-0.03159574644648562,811,1959-02-01,2026-08-01
Industrial Production,Housing Starts,12,0.00789550989942037,-0.011499169895964572,811,1959-02-01,2026-08-01
Industrial Production,Building Permits,-12,0.04041174096126192,0.07062880689364301,786,1960-02-01,2025-07-01
Industrial Production,Building Permits,-11,0.04435017940514861,0.06172886843180664,787,1960-02-01,2025-08-01
Industrial Production,Building Permits,-10,0.12291574557658017,0.08924822678303024,788,1960-02-01,2025-09-01
Industrial Production,Building Permits,-9,0.07350717352005846,0.10168856553683432,789,1960-02-01,2025-10-01
Industrial Production,Building Permits,-8,0.011995642494635592,0.0188548841668639,790,1960-02-01,2025-11-01
Industrial Production,Building Permits,-7,0.07926625562537284,0.10513504092362831,791,1960-02-01,2025-12-01
Industrial Production,Building Permits,-6,0.09573416643931236,0.10039009905866536,792,1960-02-01,2026-01-01
Industrial Production,Building Permits,-5,0.06583832400279024,0.06797808533351105,793,1960-02-01,2026-02-01
Industrial Production,Building Permits,-4,0.14992000133462702,0.16859265286932398,794,1960-02-01,2026-03-01
Industrial Production,Building Permits,-3,0.08097696135485195,0.1218822161475914,795,1960-02-01,2026-04-01
Industrial Production,Building Permits,-2,0.13607851278693892,0.15574977783319352,796,1960-02-01,2026-05-01
Industrial Production,Building Permits,-1,0.06853987377658562,0.00861918276509988,797,1960-02-01,2026-06-01
Industrial Production,Building Permits,0,0.2072300376257491,0.16172126443282303,798,1960-02-01,2026-07-01
Industrial Production,Building Permits,1,-0.06633516851970095,-0.07888458125116153,799,1960-02-01,2026-08-01
Industrial Production,Building Permits,2,-0.10525115212874951,-0.12812892742322154,799,1960-02-01,2026-08-01
Industrial Production,Building Permits,3,-0.06018542131621219,-0.0033203747395843058,799,1960-02-01,2026-08-01
Industrial Production,Building Permits,4,-0.051901365566633065,-0.071005500449534,799,1960-02-01,2026-08-01
Industrial Production,Building Permits,5,-0.042527524656736086,-0.018772044194295186,799,1960-02-01,2026-08-01
Industrial Production,Building Permits,6,-0.047158353843185945,-0.0570072926099104,799,1960-02-01,2026-08-01
Industrial Production,Building Permits,7,0.008219696769253836,0.012668150013697227,799,1960-02-01,2026-08-01
Industrial Production,Building Permits,8,-0.0736951209286391,-0.055931111819677526,799,1960-02-01,2026-08-01
Industrial Production,Building Permits,9,-0.06644953189285296,-0.04621823024380443,799,1960-02-01,2026-08-01
Industrial Production,Building Permits,10,-0.033886852053608765,-0.07203897042493099,799,1960-02-01,2026-08-01
Industrial Production,Building Permits,11,-0.05726293918568842,-0.04818838567670536,799,1960-02-01,2026-08-01
Industrial Production,Building Permits,12,0.0016123980671600454,-0.04077373646476812,799,1960-02-01,2026-08-01
Industrial Production,Nonfarm Payroll Employment,-12,-0.036287439429856586,-0.052511664367174825,1038,1939-02-01,2025-07-01
Industrial Production,Nonfarm Payroll Employment,-11,-0.06922818539096565,-0.008241987104981556,1039,1939-02-01,2025-08-01
Industrial Production,Nonfarm Payroll Employment,-10,0.048437783098468495,0.014036295707776737,1040,1939-02-01,2025-09-01
Industrial Production,Nonfarm Payroll Employment,-9,0.012112120917458839,0.09073257870549836,1041,1939-02-01,2025-10-01
Industrial Production,Nonfarm Payroll Employment,-8,0.03719208505381798,0.09667734191596432,1042,1939-02-01,2025-11-01
Industrial Production,Nonfarm Payroll Employment,-7,0.0796188709724907,0.13097891652667065,1043,1939-02-01,2025-12-01
Industrial Production,Nonfarm Payroll Employment,-6,0.0004029800972961938,0.12555240776352353,1044,1939-02-01,2026-01-01
Industrial Production,Nonfarm Payroll Employment,-5,0.1261057796752946,0.15295029705940302,1045,1939-02-01,2026-02-01
Industrial Production,Nonfarm Payroll Employment,-4,0.14050241777061853,0.2210203599281047,1046,1939-02-01,2026-03-01
Industrial Production,Nonfarm Payroll Employment,-3,0.07476383656655881,0.23831352199994027,1047,1939-02-01,2026-04-01
Industrial Production,Nonfarm Payroll Employment,-2,0.043204025298426346,0.2787917513017434,1048,1939-02-01,2026-05-01
Industrial Production,Nonfarm Payroll Employment,-1,0.20377973748930236,0.3557940766323746,1049,1939-02-01,2026-06-01
Industrial Production,Nonfarm Payroll Employment,0,0.6407340889574616,0.5262632728118551,1050,1939-02-01,2026-07-01
Industrial Production,Nonfarm Payroll Employment,1,0.3267671658367602,0.4186996526493139,1051,1939-02-01,2026-08-01
Industrial Production,Nonfarm Payroll Employment,2,0.12735544190422843,0.38185566465994575,1051,1939-02-01,2026-08-01
Industrial Production,Nonfarm Payroll Employment,3,0.13763493422843742,0.3702085435945482,1051,1939-02-01,2026-08-01
Industrial Production,Nonfarm Payroll Employment,4,0.15173752642001262,0.32085117348253017,1051,1939-02-01,2026-08-01
Industrial Production,Nonfarm Payroll Employment,5,0.08463206232266182,0.2359376869332743,1051,1939-02-01,2026-08-01
Industrial Production,Nonfarm Payroll Employment,6,0.07809115291577576,0.22767171386187704,1051,1939-02-01,2026-08-01
Industrial Production,Nonfarm Payroll Employment,7,0.04505495938433451,0.2415154402317418,1051,1939-02-01,2026-08-01
Industrial Production,Nonfarm Payroll Employment,8,0.03156517997222409,0.21847369305328937,1051,1939-02-01,2026-08-01
Industrial Production,Nonfarm Payroll Employment,9,0.0321704880534125,0.18497614307736818,1051,1939-02-01,2026-08-01
Industrial Production,Nonfarm Payroll Employment,10,0.03697453106197222,0.182184839933812,1051,1939-02-01,2026-08-01
Industrial Production,Nonfarm Payroll Employment,11,0.0327998591607332,0.15685335458548966,1051,1939-02-01,2026-08-01
Industrial Production,Nonfarm Payroll Employment,12,0.027327276024538244,0.10210067819416428,1051,1939-02-01,2026-08-01
Industrial Production,Unemployment Rate,-12,0.0720288305832933,0.11347886561809899,930,1948-02-01,2025-07-01
Industrial Production,Unemployment Rate,-11,0.09080407842168296,0.020786649312473857,931,1948-02-01,2025-08-01
Industrial Production,Unemployment Rate,-10,-0.0414929417952377,0.062215495620653795,932,1948-02-01,2025-09-01
Industrial Production,Unemployment Rate,-9,0.01331222024875392,0.018469634421443323,932,1948-02-01,2025-09-01
Industrial Production,Unemployment Rate,-8,0.043435215625785235,0.024737319986391743,932,1948-02-01,2025-09-01
Industrial Production,Unemployment Rate,-7,0.0009648361226002577,-0.010222577761913999,933,1948-02-01,2025-12-01
Industrial Production,Unemployment Rate,-6,0.0015690759251924672,-0.08530361411842835,934,1948-02-01,2026-01-01
Industrial Production,Unemployment Rate,-5,-0.036302298199037054,-0.04623094109833265,935,1948-02-01,2026-02-01
Industrial Production,Unemployment Rate,-4,-0.011462066014033807,-0.060163047663904776,936,1948-02-01,2026-03-01
Industrial Production,Unemployment Rate,-3,0.04314618134770993,-0.12719419419211803,937,1948-02-01,2026-04-01
Industrial Production,Unemployment Rate,-2,0.06221582357963685,-0.1658005772221049,938,1948-02-01,2026-05-01
Industrial Production,Unemployment Rate,-1,-0.14691461328431688,-0.2452278696800498,939,1948-02-01,2026-06-01
Industrial Production,Unemployment Rate,0,-0.5943209006361865,-0.38315278276800135,940,1948-02-01,2026-07-01
Industrial Production,Unemployment Rate,1,-0.22812065429847106,-0.2948486256732601,941,1948-02-01,2026-08-01
Industrial Production,Unemployment Rate,2,-0.0755506793246098,-0.2305499250613534,941,1948-02-01,2026-08-01
Industrial Production,Unemployment Rate,3,-0.10234792940332267,-0.23037488562799482,941,1948-02-01,2026-08-01
Industrial Production,Unemployment Rate,4,-0.06839746586958946,-0.22020180997055594,941,1948-02-01,2026-08-01
Industrial Production,Unemployment Rate,5,-0.038882139244551826,-0.1788232498190446,941,1948-02-01,2026-08-01
Industrial Production,Unemployment Rate,6,-0.04317802644304724,-0.12068770095976503,941,1948-02-01,2026-08-01
Industrial Production,Unemployment Rate,7,-0.0312987918281168,-0.07733991265054042,941,1948-02-01,2026-08-01
Industrial Production,Unemployment Rate,8,-0.019321196778989018,-0.08464508913767631,941,1948-02-01,2026-08-01
Industrial Production,Unemployment Rate,9,-0.03160413087388602,-0.07798913380966853,941,1948-02-01,2026-08-01
Industrial Production,Unemployment Rate,10,-0.012153460240476456,-0.07436495148818233,941,1948-02-01,2026-08-01
Industrial Production,Unemployment Rate,11,0.003160777467607889,-0.04261872741636372,941,1948-02-01,2026-08-01
