Dataset 1,Dataset 2,Lag months,Pearson,Spearman,Overlapping observations,Aligned start,Aligned end,Zero lag pearson,Absolute gain over zero,Category 1,Category 2,First variable timing
Real Retail & Food Services Sales,Producer Prices — All Commodities,0,0.23756057725592483,0.16877056259273543,413,1992-02-01,2026-08-01,0.23756057725592483,0.0,Growth / Activity,Inflation,same month
Federal Funds Rate,Total Capacity Utilization,0,0.23716669013115865,0.219037890416096,714,1967-02-01,2026-07-01,0.23716669013115865,0.0,Policy / Liquidity,External / Structural,same month
Housing Starts,Total Capacity Utilization,0,0.2364490827364122,0.13157630171724688,714,1967-02-01,2026-07-01,0.2364490827364122,0.0,Growth / Activity,External / Structural,same month
Manufacturing Production,Consumer Credit,0,0.232264312404369,0.19763728462331356,654,1972-02-01,2026-07-01,0.232264312404369,0.0,Growth / Activity,Credit,same month
Average Weekly Hours — Total Private,Labor Force Participation Rate,-1,-0.22969361881238762,0.009121394331948956,243,2006-03-01,2026-07-01,0.049546356023373275,0.18014726278901433,Labor,Labor,follows second
Industrial Production,M2 Money Supply,1,-0.22949387902578028,0.003788938173331657,810,1959-02-01,2026-07-01,-0.21214450793994732,0.017349371085832954,Growth / Activity,Policy / Liquidity,precedes second
Real Retail & Food Services Sales,Core CPI,1,0.2289377492804271,0.030469064295572418,411,1992-03-01,2026-08-01,0.02766145323441869,0.2012762960460084,Growth / Activity,Inflation,precedes second
Real Personal Income excluding transfers,Average Weekly Hours — Total Private,1,-0.22808901396017395,-0.08316924713758111,245,2006-04-01,2026-08-01,0.1767917718709902,0.05129724208918374,Growth / Activity,Labor,precedes second
Real Personal Consumption Expenditure,Core PCE Price Index,0,0.2274829024465248,-0.04035458651475454,234,2007-02-01,2026-07-01,0.2274829024465248,0.0,Growth / Activity,Inflation,same month
Manufacturing Production,Total Bank Reserves,0,-0.22716752865983048,-0.026940175700523313,654,1972-02-01,2026-07-01,-0.22716752865983048,0.0,Growth / Activity,Policy / Liquidity,same month
Industrial Production,Federal Funds Rate,0,0.2255159474542868,0.23303119676551182,864,1954-08-01,2026-07-01,0.2255159474542868,0.0,Growth / Activity,Policy / Liquidity,same month
Manufacturing Production,Building Permits,0,0.22438877560779974,0.16518485022200546,654,1972-02-01,2026-07-01,0.22438877560779974,0.0,Growth / Activity,Growth / Activity,same month
Real Personal Consumption Expenditure,CPI All Items,1,0.22401682426984557,0.12297011853027834,232,2007-03-01,2026-08-01,0.20896370085770247,0.015053123412143099,Growth / Activity,Inflation,precedes second
Job Openings,M2 Money Supply,-2,0.22334727350930117,0.11868845850451523,307,2000-11-01,2026-05-01,-0.03331409587644978,0.19003317763285138,Labor,Policy / Liquidity,follows second
Federal Funds Rate,M2 Money Supply,1,-0.22111394145415045,-0.23346755827274232,810,1959-02-01,2026-07-01,-0.13346715602964823,0.08764678542450222,Policy / Liquidity,Policy / Liquidity,precedes second
Industrial Production,Labor Force Participation Rate,0,0.22079298996099986,0.04925862654900547,940,1948-02-01,2026-07-01,0.22079298996099986,0.0,Growth / Activity,Labor,same month
Housing Starts,Average Weekly Hours — Manufacturing,0,0.21777058549162803,0.16244593164528154,811,1959-02-01,2026-08-01,0.21777058549162803,0.0,Growth / Activity,Labor,same month
Labor Force Participation Rate,M2 Money Supply,1,-0.21676335664105606,0.012281699530533003,808,1959-02-01,2026-07-01,-0.19473048403149898,0.02203287260955708,Labor,Policy / Liquidity,precedes second
Industrial Production,Housing Starts,0,0.21604653324910733,0.10876038469064027,810,1959-02-01,2026-07-01,0.21604653324910733,0.0,Growth / Activity,Growth / Activity,same month
Building Permits,Average Weekly Hours — Manufacturing,0,0.21504713986276183,0.16827569481697724,799,1960-02-01,2026-08-01,0.21504713986276183,0.0,Growth / Activity,Labor,same month
Building Permits,Federal Funds Rate,-1,-0.21376915724406192,-0.12432089203535651,799,1960-01-01,2026-07-01,-0.09549442265124991,0.11827473459281201,Growth / Activity,Policy / Liquidity,follows second
Consumer Credit,Total Capacity Utilization,-11,0.21359543166067954,0.16792317521654748,703,1967-02-01,2025-08-01,0.20834217316510092,0.005253258495578617,Credit,External / Structural,follows second
Job Openings,Producer Prices — All Commodities,0,0.21184726596357928,0.18425917055299526,307,2001-01-01,2026-07-01,0.21184726596357928,0.0,Labor,Inflation,same month
Building Permits,Total Capacity Utilization,0,0.21154633446578258,0.1575807073132175,714,1967-02-01,2026-07-01,0.21154633446578258,0.0,Growth / Activity,External / Structural,same month
Building Permits,Average Weekly Hours — Total Private,4,0.2096673777203567,0.19109173265532253,245,2006-04-01,2026-08-01,0.11579622122873293,0.09387115649162378,Growth / Activity,Labor,precedes second
Average Hourly Earnings — Total Private,Federal Funds Rate,-1,-0.20873406350180862,0.07474265829342847,245,2006-03-01,2026-07-01,-0.19580043566860275,0.012933627833205869,Labor,Policy / Liquidity,follows second
Industrial Production,Building Permits,0,0.2072300376257491,0.16172126443282303,798,1960-02-01,2026-07-01,0.2072300376257491,0.0,Growth / Activity,Growth / Activity,same month
Manufacturing Production,Producer Prices — All Commodities,0,0.205992837236212,0.109254066380976,654,1972-02-01,2026-07-01,0.205992837236212,0.0,Growth / Activity,Inflation,same month
Real Personal Income,Producer Prices — Final Demand,-11,-0.20557143666231048,-0.07642546170417233,189,2009-12-01,2025-08-01,-0.10091953235049274,0.10465190431181774,Growth / Activity,Inflation,follows second
Real Retail & Food Services Sales,Total Bank Reserves,0,-0.2022143093690982,-0.002530869395548667,412,1992-02-01,2026-07-01,-0.2022143093690982,0.0,Growth / Activity,Policy / Liquidity,same month
Total Bank Reserves,M2 Money Supply,0,0.20125192526747562,0.12452443910468824,810,1959-02-01,2026-07-01,0.20125192526747562,0.0,Policy / Liquidity,Policy / Liquidity,same month
CPI All Items,Commercial & Industrial Loans,-3,0.19914117479068344,0.18551004749896818,950,1947-02-01,2026-05-01,0.12833645155633677,0.07080472323434667,Inflation,Credit,follows second
Real Personal Consumption Expenditure,PCE Price Index,0,0.19913370307534672,-0.07519603642332162,234,2007-02-01,2026-07-01,0.19913370307534672,0.0,Growth / Activity,Inflation,same month
Core CPI,Federal Funds Rate,-2,0.19891128983614717,0.1174716862631068,833,1956-12-01,2026-06-01,0.08785987118034044,0.11105141865580673,Inflation,Policy / Liquidity,follows second
Job Openings,Consumer Credit,11,0.19848802956201478,0.27536565841650584,296,2001-12-01,2026-07-01,0.09060554060230425,0.10788248895971053,Labor,Credit,precedes second
Real Personal Income excluding transfers,Consumer Credit,8,0.19807254211816927,0.27298746524577594,802,1959-10-01,2026-07-01,0.19707541770577872,0.0009971244123905543,Growth / Activity,Credit,precedes second
Producer Prices — All Commodities,Consumer Credit,0,0.19694196261024347,0.111718224795957,1002,1943-02-01,2026-07-01,0.19694196261024347,0.0,Inflation,Credit,same month
Industrial Production,Consumer Credit,0,0.195513355434414,0.19455728029013006,1002,1943-02-01,2026-07-01,0.195513355434414,0.0,Growth / Activity,Credit,same month
Real Retail & Food Services Sales,CPI All Items,1,0.1941883393012018,0.12328589541051323,411,1992-03-01,2026-08-01,0.13095869317058806,0.06322964613061374,Growth / Activity,Inflation,precedes second
Average Weekly Hours — Total Private,PCE Price Index,-12,-0.19393761573929907,-0.20445455151685274,245,2005-04-01,2025-08-01,0.08794585690446358,0.1059917588348355,Labor,Inflation,follows second
Real Retail & Food Services Sales,Core PCE Price Index,0,0.1928901731799448,-0.013302949877980162,412,1992-02-01,2026-07-01,0.1928901731799448,0.0,Growth / Activity,Inflation,same month
Producer Prices — Final Demand,Consumer Credit,2,0.19104215525397467,0.13163870268356226,198,2010-02-01,2026-07-01,0.14390148327234528,0.047140671981629384,Inflation,Credit,precedes second
Unemployment Rate,Producer Prices — All Commodities,0,-0.19091771717116093,-0.053012308543019956,941,1948-02-01,2026-08-01,-0.19091771717116093,0.0,Labor,Inflation,same month
Nonfarm Payroll Employment,Total Bank Reserves,0,-0.19057818306802252,-0.016252680467754375,810,1959-02-01,2026-07-01,-0.19057818306802252,0.0,Labor,Policy / Liquidity,same month
Real Personal Income,Job Openings,-11,-0.19020482419881637,-0.007645395780989001,296,2001-01-01,2025-08-01,-0.026518873993507237,0.16368595020530913,Growth / Activity,Labor,follows second
Core PCE Price Index,M2 Money Supply,-12,0.1892285090271611,0.19954459186770485,798,1959-02-01,2025-07-01,0.00974283522020398,0.17948567380695712,Inflation,Policy / Liquidity,follows second
Real Retail & Food Services Sales,PCE Price Index,0,0.18915422953393016,0.0750936560142111,412,1992-02-01,2026-07-01,0.18915422953393016,0.0,Growth / Activity,Inflation,same month
Real Personal Income excluding transfers,Commercial & Industrial Loans,7,0.18904033054815855,0.2502041974098013,804,1959-09-01,2026-08-01,-0.16710759725751856,0.021932733290639994,Growth / Activity,Credit,precedes second
Average Hourly Earnings — Total Private,Producer Prices — All Commodities,0,-0.18901166762888355,-0.020599363635494142,245,2006-04-01,2026-08-01,-0.18901166762888355,0.0,Labor,Inflation,same month
Core CPI,Total Capacity Utilization,4,-0.18559233290504357,-0.10748829347448642,712,1967-02-01,2026-07-01,0.026062102261903305,0.15953023064314026,Inflation,External / Structural,precedes second
Job Openings,Core PCE Price Index,1,0.18400569479413453,0.12701865922852296,306,2001-02-01,2026-07-01,0.04100629100232387,0.14299940379181067,Labor,Inflation,precedes second
Commercial & Industrial Loans,Total Bank Reserves,-9,-0.1835160308351267,-0.013476109470195619,802,1959-02-01,2025-11-01,0.1505480213863171,0.03296800944880959,Credit,Policy / Liquidity,follows second
Total Bank Reserves,Total Capacity Utilization,-1,-0.18349106254174846,0.059050362128146676,713,1967-02-01,2026-06-01,-0.17890575325543875,0.004585309286309708,Policy / Liquidity,External / Structural,follows second
Producer Prices — All Commodities,Total Capacity Utilization,1,0.18276905125629658,0.15493275019075065,714,1967-02-01,2026-07-01,0.18084452633004058,0.0019245249262559994,Inflation,External / Structural,precedes second
Producer Prices — Final Demand,Total Bank Reserves,-12,0.18193437334285611,0.0847995963086122,201,2008-12-01,2025-08-01,-0.1470570591079563,0.034877314234899814,Inflation,Policy / Liquidity,follows second
Unemployment Rate,Consumer Credit,0,-0.17995144684990252,-0.1549404639040056,940,1948-02-01,2026-07-01,-0.17995144684990252,0.0,Labor,Credit,same month
Industrial Production,Total Bank Reserves,1,-0.1798329331799454,0.0334612606822243,810,1959-02-01,2026-07-01,-0.17418187322380488,0.005651059956140514,Growth / Activity,Policy / Liquidity,precedes second
Average Hourly Earnings — Total Private,Producer Prices — Final Demand,-3,0.17845360817768047,0.19314616701213547,198,2009-12-01,2026-05-01,-0.1580584283819676,0.02039517979571287,Labor,Inflation,follows second
Real Personal Income excluding transfers,Housing Starts,0,0.1773399375666972,0.09614447929791692,810,1959-02-01,2026-07-01,0.1773399375666972,0.0,Growth / Activity,Growth / Activity,same month
Job Openings,Core CPI,10,0.17598092973188778,0.12109835001336221,296,2001-11-01,2026-08-01,0.07357753037552749,0.1024033993563603,Labor,Inflation,precedes second
Real Personal Consumption Expenditure,Consumer Credit,12,0.17590054292137985,0.11926211055728335,222,2008-02-01,2026-07-01,0.1488474184332128,0.027053124488167046,Growth / Activity,Credit,precedes second
PCE Price Index,M2 Money Supply,-12,0.17337941706145266,0.183369777622643,798,1959-02-01,2025-07-01,-0.03593859389135217,0.13744082317010048,Inflation,Policy / Liquidity,follows second
Producer Prices — All Commodities,Commercial & Industrial Loans,4,0.17333389330503376,0.16025573423244432,955,1947-02-01,2026-08-01,0.03292646037900036,0.14040743292603342,Inflation,Credit,precedes second
Real Personal Income excluding transfers,Producer Prices — Final Demand,-12,-0.17320683235389348,-0.1765625657541306,188,2009-12-01,2025-07-01,0.0502261795025633,0.12298065285133017,Growth / Activity,Inflation,follows second
Real Personal Income,Consumer Credit,3,0.17314803475365162,0.19295073561706905,807,1959-05-01,2026-07-01,0.009944447637017547,0.16320358711663407,Growth / Activity,Credit,precedes second
Core CPI,Consumer Credit,-10,0.17010766530226515,0.16215322061239398,833,1956-04-01,2025-10-01,0.10196022089919585,0.0681474444030693,Inflation,Credit,follows second
PCE Price Index,Consumer Credit,-12,0.16835683002568502,0.10540169960578331,810,1958-02-01,2025-07-01,0.1314327419261389,0.036924088099546115,Inflation,Credit,follows second
Core CPI,Commercial & Industrial Loans,-3,0.16805870394392605,0.1261557653243636,833,1956-11-01,2026-05-01,0.04690592823137339,0.12115277571255266,Inflation,Credit,follows second
Housing Starts,Nonfarm Payroll Employment,0,0.16749391697309948,0.09284256521709319,811,1959-02-01,2026-08-01,0.16749391697309948,0.0,Growth / Activity,Labor,same month
Average Weekly Hours — Total Private,Commercial & Industrial Loans,-1,0.16687391801792753,-0.018177113855964374,245,2006-03-01,2026-07-01,0.07479842648723665,0.09207549153069088,Labor,Credit,follows second
Core CPI,M2 Money Supply,-12,0.1667916894107057,0.1596872123829074,797,1959-02-01,2025-08-01,-0.04320515111880629,0.12358653829189942,Inflation,Policy / Liquidity,follows second
Job Openings,Federal Funds Rate,0,0.16644058027111688,0.08938558251122344,307,2001-01-01,2026-07-01,0.16644058027111688,0.0,Labor,Policy / Liquidity,same month
Job Openings,Commercial & Industrial Loans,1,-0.16631976455050368,0.020878176559341533,307,2001-02-01,2026-08-01,-0.16294445698566923,0.003375307564834451,Labor,Credit,precedes second
Average Weekly Hours — Total Private,CPI All Items,-12,-0.16595804282337517,-0.1908647314791509,245,2005-04-01,2025-08-01,0.09567826151819589,0.07027978130517928,Labor,Inflation,follows second
Consumer Credit,Federal Funds Rate,0,0.16419692580964423,0.25230473478137044,864,1954-08-01,2026-07-01,0.16419692580964423,0.0,Credit,Policy / Liquidity,same month
CPI All Items,Consumer Credit,-7,0.16410353937091388,0.07245675689683695,953,1946-07-01,2026-01-01,0.13399168691684366,0.03011185245407022,Inflation,Credit,follows second
Real Personal Consumption Expenditure,Total Bank Reserves,1,-0.1640062091450001,-0.22750480982684623,233,2007-03-01,2026-07-01,-0.1618606678412688,0.0021455413037313187,Growth / Activity,Policy / Liquidity,precedes second
Unemployment Rate,Total Bank Reserves,0,0.16382377014128338,-0.009344530497232936,808,1959-02-01,2026-07-01,0.16382377014128338,0.0,Labor,Policy / Liquidity,same month
Core PCE Price Index,Consumer Credit,-12,0.1619332378712294,0.1196604758100813,810,1958-02-01,2025-07-01,0.09151753520382305,0.07041570266740635,Inflation,Credit,follows second
CPI All Items,Federal Funds Rate,-2,0.1616667209175362,0.09955076706127534,861,1954-08-01,2026-06-01,0.07268946611435,0.0889772548031862,Inflation,Policy / Liquidity,follows second
Average Weekly Hours — Total Private,Consumer Credit,11,0.1611958048292273,0.13420553864630433,233,2007-03-01,2026-07-01,0.011463507000029424,0.14973229782919786,Labor,Credit,precedes second
Manufacturing Production,Core CPI,-3,-0.16118278682489526,-0.04183577642279406,652,1971-11-01,2026-04-01,0.05654421175145164,0.10463857507344362,Growth / Activity,Inflation,follows second
Average Hourly Earnings — Total Private,PCE Price Index,-2,0.16095336287673853,0.23574594689643233,245,2006-02-01,2026-06-01,-0.07894122588095948,0.08201213699577906,Labor,Inflation,follows second
Average Hourly Earnings — Total Private,CPI All Items,-2,0.15993844364182278,0.23827807459641417,243,2006-02-01,2026-06-01,-0.11821560185293005,0.041722841788892726,Labor,Inflation,follows second
CPI All Items,Total Capacity Utilization,12,-0.15936303196346963,-0.1430294405766448,714,1967-02-01,2026-07-01,0.072502822324438,0.08686020963903163,Inflation,External / Structural,precedes second
Average Weekly Hours — Manufacturing,Commercial & Industrial Loans,0,-0.15879010880685263,-0.017007966250268215,955,1947-02-01,2026-08-01,-0.15879010880685263,0.0,Labor,Credit,same month
Real Personal Income,Commercial & Industrial Loans,0,0.15837881107690666,0.08099472115573346,810,1959-02-01,2026-07-01,0.15837881107690666,0.0,Growth / Activity,Credit,same month
CPI All Items,M2 Money Supply,-12,0.1582772070874989,0.15270749564001754,797,1959-02-01,2025-08-01,-0.08251721005083758,0.07575999703666132,Inflation,Policy / Liquidity,follows second
Building Permits,Unemployment Rate,0,-0.15700383786182665,-0.05383917020867164,797,1960-02-01,2026-08-01,-0.15700383786182665,0.0,Growth / Activity,Labor,same month
Job Openings,CPI All Items,-12,-0.1564458743342053,-0.14854097984705789,307,2000-01-01,2025-07-01,0.1173221354593566,0.039123738874848685,Labor,Inflation,follows second
Housing Starts,Job Openings,0,0.15602324814775873,0.08659709969536718,307,2001-01-01,2026-07-01,0.15602324814775873,0.0,Growth / Activity,Labor,same month
Industrial Production,Core CPI,-4,-0.15589584454138947,-0.0863001825986819,828,1957-02-01,2026-03-01,0.03517566848758477,0.1207201760538047,Growth / Activity,Inflation,follows second
Building Permits,Nonfarm Payroll Employment,0,0.15575082783958297,0.09745117538403199,799,1960-02-01,2026-08-01,0.15575082783958297,0.0,Growth / Activity,Labor,same month
Real Personal Income excluding transfers,Total Bank Reserves,-3,-0.155659919009601,-0.024291141542193438,807,1959-02-01,2026-04-01,-0.053004768225687206,0.1026551507839138,Growth / Activity,Policy / Liquidity,follows second
Core PCE Price Index,Commercial & Industrial Loans,-12,0.1550099417722912,0.10598921018750955,810,1958-02-01,2025-07-01,0.05299123663421387,0.10201870513807731,Inflation,Credit,follows second
Nonfarm Payroll Employment,CPI All Items,0,0.15477216245460343,0.12415983003919594,953,1947-02-01,2026-08-01,0.15477216245460343,0.0,Labor,Inflation,same month
Real Personal Income,M2 Money Supply,-10,0.15474956816708998,0.1056382984913158,800,1959-02-01,2025-09-01,0.11844744170466928,0.0363021264624207,Growth / Activity,Policy / Liquidity,follows second
Nonfarm Payroll Employment,Federal Funds Rate,-1,0.1543296165354788,0.29732563819836344,864,1954-08-01,2026-07-01,0.15386474253468344,0.0004648740007953678,Labor,Policy / Liquidity,follows second
Labor Force Participation Rate,Commercial & Industrial Loans,0,-0.15335853264158428,0.02363789102107142,941,1948-02-01,2026-08-01,-0.15335853264158428,0.0,Labor,Credit,same month
Average Weekly Hours — Total Private,Core PCE Price Index,-12,-0.15330126496818575,-0.13578519575564896,245,2005-04-01,2025-08-01,-0.06700492030931078,0.08629634465887497,Labor,Inflation,follows second
Producer Prices — All Commodities,M2 Money Supply,-12,0.15238276779425,0.08668760073469804,799,1959-02-01,2025-08-01,-0.06842825969703097,0.08395450809721904,Inflation,Policy / Liquidity,follows second
Housing Starts,Unemployment Rate,0,-0.1522223492307421,-0.0698611950198632,809,1959-02-01,2026-08-01,-0.1522223492307421,0.0,Growth / Activity,Labor,same month
PCE Price Index,Total Capacity Utilization,12,-0.15190737125302772,-0.11503351537060606,714,1967-02-01,2026-07-01,0.05751593068160759,0.09439144057142013,Inflation,External / Structural,precedes second
Building Permits,Job Openings,4,0.15143076871390562,0.11285024507214432,307,2001-01-01,2026-07-01,0.12224254847059408,0.02918822024331154,Growth / Activity,Labor,precedes second
PCE Price Index,Commercial & Industrial Loans,3,0.15042831113283062,0.13213919166988503,808,1959-05-01,2026-08-01,0.06948887134138847,0.08093943979144215,Inflation,Credit,precedes second
Consumer Credit,M2 Money Supply,-7,0.15035825305171283,0.29401735604262563,803,1959-02-01,2025-12-01,-0.03386952363735422,0.11648872941435862,Credit,Policy / Liquidity,follows second
Labor Force Participation Rate,Core CPI,9,0.14884511088382574,0.17854640672580074,831,1957-02-01,2026-06-01,0.10308219074819049,0.04576292013563525,Labor,Inflation,precedes second
Average Weekly Hours — Total Private,M2 Money Supply,0,0.1486306984429594,0.06955188842171776,244,2006-04-01,2026-07-01,0.1486306984429594,0.0,Labor,Policy / Liquidity,same month
Building Permits,Producer Prices — Final Demand,-3,-0.14694652293283728,-0.09628536836821114,198,2009-12-01,2026-05-01,0.0920789008036946,0.054867622129142674,Growth / Activity,Inflation,follows second
Building Permits,Commercial & Industrial Loans,0,-0.14659457773515816,-0.09935214187353975,799,1960-02-01,2026-08-01,-0.14659457773515816,0.0,Growth / Activity,Credit,same month
Core PCE Price Index,Total Bank Reserves,0,-0.14578994204769238,-0.020163115533537095,810,1959-02-01,2026-07-01,-0.14578994204769238,0.0,Inflation,Policy / Liquidity,same month
Industrial Production,CPI All Items,-12,-0.14508546741805528,-0.13055321076995116,942,1947-02-01,2025-07-01,0.064682329926497,0.08040313749155828,Growth / Activity,Inflation,follows second
Building Permits,Consumer Credit,11,0.14506160521045347,0.15321232868606008,787,1961-01-01,2026-07-01,0.04601122988457108,0.0990503753258824,Growth / Activity,Credit,precedes second
Manufacturing Production,CPI All Items,-12,-0.14467620599992825,-0.12568727219170883,654,1971-02-01,2025-07-01,0.12070416071568993,0.023972045284238325,Growth / Activity,Inflation,follows second
Building Permits,Labor Force Participation Rate,0,0.14458201958829509,0.047114978656568336,797,1960-02-01,2026-08-01,0.14458201958829509,0.0,Growth / Activity,Labor,same month
Real Retail & Food Services Sales,Federal Funds Rate,0,0.14422572038743695,0.017601006588150187,413,1992-02-01,2026-08-01,0.14422572038743695,0.0,Growth / Activity,Policy / Liquidity,same month
Commercial & Industrial Loans,Federal Funds Rate,0,0.14320513349222733,0.28559698745471357,865,1954-08-01,2026-08-01,0.14320513349222733,0.0,Credit,Policy / Liquidity,same month
Real Personal Income,Producer Prices — All Commodities,-11,-0.14299518503077238,-0.09730650717162857,810,1958-03-01,2025-08-01,-0.11269110024344019,0.030304084787332194,Growth / Activity,Inflation,follows second
Real Personal Income excluding transfers,PCE Price Index,0,-0.14245034188697342,-0.2626182207849555,810,1959-02-01,2026-07-01,-0.14245034188697342,0.0,Growth / Activity,Inflation,same month
Job Openings,Total Bank Reserves,1,-0.14107370465455965,-0.06005883505912955,306,2001-02-01,2026-07-01,-0.07782653993159476,0.06324716472296489,Labor,Policy / Liquidity,precedes second
Manufacturing Production,PCE Price Index,-12,-0.13880384958577766,-0.10246961381060317,654,1971-02-01,2025-07-01,0.10026733143247725,0.038536518153300406,Growth / Activity,Inflation,follows second
Housing Starts,Commercial & Industrial Loans,0,-0.1359366735073558,-0.08159513379530955,811,1959-02-01,2026-08-01,-0.1359366735073558,0.0,Growth / Activity,Credit,same month
Job Openings,PCE Price Index,1,0.1352488515504491,0.13179692650926925,306,2001-02-01,2026-07-01,0.09570218924551879,0.03954666230493031,Labor,Inflation,precedes second
Housing Starts,M2 Money Supply,-2,0.13474748960166208,0.09225667897493348,809,1959-02-01,2026-06-01,0.012122123082339427,0.12262536651932265,Growth / Activity,Policy / Liquidity,follows second
Building Permits,M2 Money Supply,-2,0.1329917528977869,0.12525924529460863,799,1959-12-01,2026-06-01,0.08498161822897392,0.04801013466881297,Growth / Activity,Policy / Liquidity,follows second
Average Weekly Hours — Manufacturing,Federal Funds Rate,0,0.13287957437239106,0.12743294142689243,865,1954-08-01,2026-08-01,0.13287957437239106,0.0,Labor,Policy / Liquidity,same month
Average Weekly Hours — Total Private,Producer Prices — Final Demand,-9,-0.1327273940405273,-0.08549909170378263,192,2009-12-01,2025-11-01,0.08460348120210943,0.04812391283841787,Labor,Inflation,follows second
Unemployment Rate,Federal Funds Rate,0,-0.13051334348146543,-0.1671512558763833,863,1954-08-01,2026-08-01,-0.13051334348146543,0.0,Labor,Policy / Liquidity,same month
Average Weekly Hours — Manufacturing,M2 Money Supply,0,-0.1299750982577366,0.021166271040428456,810,1959-02-01,2026-07-01,-0.1299750982577366,0.0,Labor,Policy / Liquidity,same month
Industrial Production,PCE Price Index,-12,-0.12975775127310804,-0.104543258451539,798,1959-02-01,2025-07-01,0.04132475372027002,0.08843299755283801,Growth / Activity,Inflation,follows second
Nonfarm Payroll Employment,PCE Price Index,0,0.12956302000100484,0.10603780506787355,810,1959-02-01,2026-07-01,0.12956302000100484,0.0,Labor,Inflation,same month
Housing Starts,Labor Force Participation Rate,0,0.12951509694232122,0.03725942626730746,809,1959-02-01,2026-08-01,0.12951509694232122,0.0,Growth / Activity,Labor,same month
Average Weekly Hours — Manufacturing,Total Bank Reserves,0,-0.12942442541171498,-0.08939743936890902,810,1959-02-01,2026-07-01,-0.12942442541171498,0.0,Labor,Policy / Liquidity,same month
Labor Force Participation Rate,PCE Price Index,0,0.12807833770519939,0.11928001112279898,808,1959-02-01,2026-07-01,0.12807833770519939,0.0,Labor,Inflation,same month
Building Permits,CPI All Items,-2,-0.12762202771967415,-0.10048631379818232,797,1959-12-01,2026-06-01,-0.012541196020107876,0.11508083169956627,Growth / Activity,Inflation,follows second
Average Weekly Hours — Total Private,Core CPI,0,-0.12673086742752984,-0.11881690050334454,243,2006-04-01,2026-08-01,-0.12673086742752984,0.0,Labor,Inflation,same month
Real Personal Income excluding transfers,Producer Prices — All Commodities,-12,-0.12594174337543323,-0.14221265666071722,810,1958-02-01,2025-07-01,-0.061945704914680454,0.06399603846075277,Growth / Activity,Inflation,follows second
Average Weekly Hours — Total Private,Total Bank Reserves,-2,-0.12509591449212096,-0.05203347641773629,245,2006-02-01,2026-06-01,-0.030562819708692686,0.09453309478342828,Labor,Policy / Liquidity,follows second
Housing Starts,Consumer Credit,11,0.1245581610088353,0.11111358914631964,799,1960-01-01,2026-07-01,0.06147109289211662,0.06308706811671867,Growth / Activity,Credit,precedes second
Building Permits,Total Bank Reserves,0,-0.1244948566803566,-0.02277753749340101,798,1960-02-01,2026-07-01,-0.1244948566803566,0.0,Growth / Activity,Policy / Liquidity,same month
Nonfarm Payroll Employment,Core CPI,0,0.12413484844660679,0.16048465572459428,833,1957-02-01,2026-08-01,0.12413484844660679,0.0,Labor,Inflation,same month
Average Hourly Earnings — Total Private,Consumer Credit,0,-0.12353612460627106,-0.0026409897806944265,244,2006-04-01,2026-07-01,-0.12353612460627106,0.0,Labor,Credit,same month
Housing Starts,Average Weekly Hours — Total Private,0,0.1229349301878927,0.05830673722938463,245,2006-04-01,2026-08-01,0.1229349301878927,0.0,Growth / Activity,Labor,same month
Real Personal Income excluding transfers,CPI All Items,-12,-0.12291778297727243,-0.15605885528226832,810,1958-02-01,2025-07-01,-0.10308877217206851,0.019829010805203925,Growth / Activity,Inflation,follows second
Average Weekly Hours — Total Private,Producer Prices — All Commodities,0,0.12245420111040664,0.13851590176444573,245,2006-04-01,2026-08-01,0.12245420111040664,0.0,Labor,Inflation,same month
Real Personal Income,CPI All Items,0,-0.12242896491088771,-0.22926548933520066,808,1959-02-01,2026-07-01,-0.12242896491088771,0.0,Growth / Activity,Inflation,same month
Building Permits,PCE Price Index,-2,-0.1221062881415863,-0.09750988593347991,799,1959-12-01,2026-06-01,0.01635891209695762,0.1057473760446287,Growth / Activity,Inflation,follows second
Consumer Credit,Total Bank Reserves,-5,-0.12199880254393472,-0.03961971364487599,805,1959-02-01,2026-02-01,-0.08928416231726112,0.0327146402266736,Credit,Policy / Liquidity,follows second
Real Retail & Food Services Sales,Consumer Credit,12,0.12116400425309577,0.08597418715719496,402,1993-02-01,2026-07-01,0.11033659449567292,0.010827409757422857,Growth / Activity,Credit,precedes second
Real Personal Income excluding transfers,Building Permits,0,0.1196526494757935,0.08025409211532852,798,1960-02-01,2026-07-01,0.1196526494757935,0.0,Growth / Activity,Growth / Activity,same month
Labor Force Participation Rate,Consumer Credit,0,0.11805984060351019,0.07935298837452222,940,1948-02-01,2026-07-01,0.11805984060351019,0.0,Labor,Credit,same month
Building Permits,Core CPI,1,-0.11800106916886954,-0.04081472705835743,796,1960-03-01,2026-08-01,-0.07467739488169738,0.04332367428717217,Growth / Activity,Inflation,precedes second
Average Weekly Hours — Manufacturing,Producer Prices — All Commodities,0,0.11727308864031756,0.08584494928814788,1051,1939-02-01,2026-08-01,0.11727308864031756,0.0,Labor,Inflation,same month
Labor Force Participation Rate,Core PCE Price Index,0,0.11425228127183645,0.12388697402599129,808,1959-02-01,2026-07-01,0.11425228127183645,0.0,Labor,Inflation,same month
Unemployment Rate,CPI All Items,0,-0.11415393713740861,-0.011240377281383954,941,1948-02-01,2026-08-01,-0.11415393713740861,0.0,Labor,Inflation,same month
