Dataset 1,Dataset 2,Lag months,Pearson,Spearman,Overlapping observations,Aligned start,Aligned end,Zero lag pearson,Absolute gain over zero,Category 1,Category 2,First variable timing
Core CPI,PCE Price Index,0,0.6510270525516051,0.5930606574812632,808,1959-02-01,2026-07-01,0.6510270525516051,0.0,Inflation,Inflation,same month
Real Personal Income,Average Hourly Earnings — Total Private,-11,0.6415902431635918,0.06709180915097146,233,2006-04-01,2025-08-01,0.24718376001328454,0.39440648315030724,Growth / Activity,Labor,follows second
Real Retail & Food Services Sales,Average Hourly Earnings — Total Private,0,-0.6415856536707314,-0.19730151509914695,243,2006-04-01,2026-08-01,-0.6415856536707314,0.0,Growth / Activity,Labor,same month
Industrial Production,Nonfarm Payroll Employment,0,0.6407340889574616,0.5262632728118551,1050,1939-02-01,2026-07-01,0.6407340889574616,0.0,Growth / Activity,Labor,same month
Unemployment Rate,Total Capacity Utilization,0,-0.6386281358729582,-0.33270200923091936,712,1967-02-01,2026-07-01,-0.6386281358729582,0.0,Labor,External / Structural,same month
CPI All Items,Producer Prices — All Commodities,0,0.6287798998877355,0.5709536332535947,953,1947-02-01,2026-08-01,0.6287798998877355,0.0,Inflation,Inflation,same month
Manufacturing Production,Average Weekly Hours — Manufacturing,0,0.6239840922470109,0.5210705757430569,654,1972-02-01,2026-07-01,0.6239840922470109,0.0,Growth / Activity,Labor,same month
PCE Price Index,Producer Prices — All Commodities,0,0.6195002613184063,0.5673441432400853,810,1959-02-01,2026-07-01,0.6195002613184063,0.0,Inflation,Inflation,same month
Manufacturing Production,Real Retail & Food Services Sales,0,0.6166622968997638,0.2683490387588103,412,1992-02-01,2026-07-01,0.6166622968997638,0.0,Growth / Activity,Growth / Activity,same month
Real Personal Consumption Expenditure,Real Personal Income excluding transfers,0,0.5972610777283353,0.2660902060226324,234,2007-02-01,2026-07-01,0.5972610777283353,0.0,Growth / Activity,Growth / Activity,same month
Industrial Production,Unemployment Rate,0,-0.5943209006361865,-0.38315278276800135,940,1948-02-01,2026-07-01,-0.5943209006361865,0.0,Growth / Activity,Labor,same month
Average Weekly Hours — Manufacturing,Total Capacity Utilization,0,0.5666366785991833,0.4469066731577638,714,1967-02-01,2026-07-01,0.5666366785991833,0.0,Labor,External / Structural,same month
Real Personal Income,Nonfarm Payroll Employment,-11,-0.5656725662881128,0.03271784939365152,810,1958-03-01,2025-08-01,-0.270938193931337,0.2947343723567758,Growth / Activity,Labor,follows second
Real Personal Income,Unemployment Rate,-11,0.5543349560243991,0.0033114730620672187,810,1958-03-01,2025-08-01,0.3003294346263363,0.25400552139806276,Growth / Activity,Labor,follows second
Real Retail & Food Services Sales,Nonfarm Payroll Employment,0,0.5490333733156304,0.19171129714008822,413,1992-02-01,2026-08-01,0.5490333733156304,0.0,Growth / Activity,Labor,same month
Real Personal Consumption Expenditure,Real Personal Income,11,-0.5446226215841709,-0.07463922121993871,223,2008-01-01,2026-07-01,-0.11411987360906295,0.4305027479751079,Growth / Activity,Growth / Activity,precedes second
Industrial Production,Real Retail & Food Services Sales,0,0.54294377654509,0.21569936834688982,412,1992-02-01,2026-07-01,0.54294377654509,0.0,Growth / Activity,Growth / Activity,same month
Core PCE Price Index,Producer Prices — Final Demand,0,0.5362179231351992,0.4701409447395073,200,2009-12-01,2026-07-01,0.5362179231351992,0.0,Inflation,Inflation,same month
Real Personal Consumption Expenditure,Commercial & Industrial Loans,0,-0.5341149732095443,-0.15431209888337097,234,2007-02-01,2026-07-01,-0.5341149732095443,0.0,Growth / Activity,Credit,same month
Real Retail & Food Services Sales,Total Capacity Utilization,0,0.5331068465054312,0.19768295022411456,412,1992-02-01,2026-07-01,0.5331068465054312,0.0,Growth / Activity,External / Structural,same month
Real Retail & Food Services Sales,Unemployment Rate,0,-0.5175610532140147,0.0010383452639197877,413,1992-02-01,2026-08-01,-0.5175610532140147,0.0,Growth / Activity,Labor,same month
Real Personal Income excluding transfers,Nonfarm Payroll Employment,0,0.5078177746913344,0.46865525544840714,810,1959-02-01,2026-07-01,0.5078177746913344,0.0,Growth / Activity,Labor,same month
Industrial Production,Average Weekly Hours — Manufacturing,0,0.5063004688221485,0.45418102883266526,1050,1939-02-01,2026-07-01,0.5063004688221485,0.0,Growth / Activity,Labor,same month
Real Personal Income excluding transfers,Average Hourly Earnings — Total Private,0,-0.49883691343569864,0.004776416300273748,244,2006-04-01,2026-07-01,-0.49883691343569864,0.0,Growth / Activity,Labor,same month
Average Hourly Earnings — Total Private,Commercial & Industrial Loans,0,0.48929041360076186,0.021602218241505756,245,2006-04-01,2026-08-01,0.48929041360076186,0.0,Labor,Credit,same month
Manufacturing Production,Real Personal Income excluding transfers,0,0.4804360957688358,0.3753757619833236,654,1972-02-01,2026-07-01,0.4804360957688358,0.0,Growth / Activity,Growth / Activity,same month
Industrial Production,Real Personal Income excluding transfers,0,0.4714868292935603,0.4191114587275276,810,1959-02-01,2026-07-01,0.4714868292935603,0.0,Growth / Activity,Growth / Activity,same month
Real Personal Income excluding transfers,Unemployment Rate,0,-0.46488693765694467,-0.2735939515344193,808,1959-02-01,2026-07-01,-0.46488693765694467,0.0,Growth / Activity,Labor,same month
Real Retail & Food Services Sales,Average Weekly Hours — Manufacturing,0,0.4553760174609087,0.1412095212617248,413,1992-02-01,2026-08-01,0.4553760174609087,0.0,Growth / Activity,Labor,same month
Real Personal Consumption Expenditure,M2 Money Supply,1,-0.4529366795339504,-0.0978842453979349,233,2007-03-01,2026-07-01,-0.23713042865851103,0.21580625087543936,Growth / Activity,Policy / Liquidity,precedes second
Real Retail & Food Services Sales,Labor Force Participation Rate,0,0.44149729473759936,0.013519206412350344,413,1992-02-01,2026-08-01,0.44149729473759936,0.0,Growth / Activity,Labor,same month
Real Personal Income excluding transfers,Total Capacity Utilization,0,0.44100238933645747,0.32755711638886065,714,1967-02-01,2026-07-01,0.44100238933645747,0.0,Growth / Activity,External / Structural,same month
Manufacturing Production,Labor Force Participation Rate,0,0.4391445721930578,0.08851293282357016,652,1972-02-01,2026-07-01,0.4391445721930578,0.0,Growth / Activity,Labor,same month
Real Personal Income,Real Retail & Food Services Sales,-11,-0.4261541764283673,0.04899195152654778,403,1992-02-01,2025-08-01,0.03360099388546089,0.3925531825429064,Growth / Activity,Growth / Activity,follows second
Real Personal Consumption Expenditure,Job Openings,0,0.4166658884889449,0.05403791715544068,234,2007-02-01,2026-07-01,0.4166658884889449,0.0,Growth / Activity,Labor,same month
Nonfarm Payroll Employment,Labor Force Participation Rate,0,0.4046080033555909,0.1483227093361454,941,1948-02-01,2026-08-01,0.4046080033555909,0.0,Labor,Labor,same month
Housing Starts,Building Permits,0,0.3952693378071986,0.32543492915688416,799,1960-02-01,2026-08-01,0.3952693378071986,0.0,Growth / Activity,Growth / Activity,same month
Unemployment Rate,Average Weekly Hours — Manufacturing,0,-0.3925387059063859,-0.16373846459649155,941,1948-02-01,2026-08-01,-0.3925387059063859,0.0,Labor,Labor,same month
Manufacturing Production,Job Openings,0,0.3891326487651345,0.2533620495873801,307,2001-01-01,2026-07-01,0.3891326487651345,0.0,Growth / Activity,Labor,same month
Average Weekly Hours — Total Private,Average Weekly Hours — Manufacturing,0,0.38027843063452005,0.5310645251003189,245,2006-04-01,2026-08-01,0.38027843063452005,0.0,Labor,Labor,same month
Real Personal Income excluding transfers,Job Openings,0,0.3776936858400246,0.24923336228183898,307,2001-01-01,2026-07-01,0.3776936858400246,0.0,Growth / Activity,Labor,same month
Nonfarm Payroll Employment,Average Weekly Hours — Manufacturing,0,0.37195028490510473,0.2365522476765051,1051,1939-02-01,2026-08-01,0.37195028490510473,0.0,Labor,Labor,same month
Manufacturing Production,Real Personal Income,11,-0.3660675086889073,0.04479188831666014,643,1973-01-01,2026-07-01,-0.04556877227247128,0.320498736416436,Growth / Activity,Growth / Activity,precedes second
Average Hourly Earnings — Total Private,M2 Money Supply,1,0.36478665986721504,-0.06560799125319662,243,2006-05-01,2026-07-01,0.33631179448879717,0.02847486537841787,Labor,Policy / Liquidity,precedes second
Real Personal Income excluding transfers,Real Retail & Food Services Sales,0,0.363354192798752,0.11445633120420083,412,1992-02-01,2026-07-01,0.363354192798752,0.0,Growth / Activity,Growth / Activity,same month
