path,series_id,kind,sha256,first_record,csv_records,error
data\raw\external_structural\IMPGSC1.csv,IMPGSC1,expected,6e1563b88de6989cff390e3347b7ba2a96c95a49ff327853a45774d495134ff2,"[""observation_date"", ""IMPGSC1""]",319,
data\raw\external_structural\OPHNFB.csv,OPHNFB,expected,d42ef61a91b622bbe47aeba137a411221da8d75b178617ab6d819eb2ebe96f0f,"[""observation_date"", ""OPHNFB""]",319,
data\raw\external_structural\TCU.csv,TCU,expected,0da8f8bd2b2d9f264c460e96b31633fe5a14e3de662fb9870cd4c3f5a583f4e8,"[""observation_date"", ""TCU""]",716,
data\raw\growth_activity\HOUST.csv,HOUST,expected,d531fdc59678e34d58c9b885d77714e8da6e442b4da21935341a54eda575fc4d,"[""observation_date"", ""HOUST""]",813,
data\raw\growth_activity\INDPRO.csv,INDPRO,expected,e9668b9b92c9ea1904162e580d0e3e32e05f84efb213563ded6c322042b5ad22,"[""observation_date"", ""INDPRO""]",1292,
data\raw\growth_activity\IPMAN.csv,IPMAN,expected,b8bbe62de9d8f3ad4989124bd01a14802ebe16729eeabafa1af5686e39f3697e,"[""observation_date"", ""IPMAN""]",656,
data\raw\growth_activity\PCEC96.csv,PCEC96,expected,fe4d77f0da74c46555ce29fcad1fb122a14f02071fef3928cb45770680894aab,"[""observation_date"", ""PCEC96""]",236,
data\raw\growth_activity\PERMIT.csv,PERMIT,expected,e9020eb8a5a21bb8f71ef6c92f65df01be46c5f89f3a8e7694bbce572c725011,"[""observation_date"", ""PERMIT""]",801,
data\raw\growth_activity\RPI.csv,RPI,expected,2bdaa3763994f90227ad1a09b450b77deb62e6a483d3dffe4dd8724b7cf242f4,"[""observation_date"", ""RPI""]",812,
data\raw\growth_activity\RRSFS.csv,RRSFS,expected,6588f46cd3f34f7972c1c928b00daf69bd9efaf8ae96043e807a0610904c31d5,"[""observation_date"", ""RRSFS""]",417,
data\raw\growth_activity\W875RX1.csv,W875RX1,expected,007ee129c01ba71573908d45db63cf4ac028fd850ed4f76f4246ad315aec76af,"[""observation_date"", ""W875RX1""]",812,
data\raw\inflation\CPIAUCSL.csv,CPIAUCSL,expected,f8ecddf53a9a9a74dda92c2c4204e6039466fcb744bc74171b73b5f6aac48119,"[""observation_date"", ""CPIAUCSL""]",957,
data\raw\inflation\CPILFESL.csv,CPILFESL,expected,cec76bf4c38dc062c63ccd3b576c21a54709ae3e3bf73ddbccb44e04384c559a,"[""observation_date"", ""CPILFESL""]",837,
data\raw\inflation\PCEPI.csv,PCEPI,expected,02580549b5894c8d530e35a5ab9a23a15a64d94d6f37b8a077d23c3a66fafcb8,"[""observation_date"", ""PCEPI""]",812,
data\raw\inflation\PCEPILFE.csv,PCEPILFE,expected,c6ea113f08aeccebc272be12abacd286b6641a85ac89d1c3e147c2cd70ce3357,"[""observation_date"", ""PCEPILFE""]",812,
data\raw\inflation\PPIACO.csv,PPIACO,expected,cd2fc9530ed3a4f7e4d4e8425ea3ec33203d7b04891a0606c793a5a4d66ef65d,"[""observation_date"", ""PPIACO""]",1365,
data\raw\inflation\PPIFID.csv,PPIFID,expected,c2e615005f3d757c6037dce0821992b2d0029224142c479d5e8585d87f2c97ca,"[""observation_date"", ""PPIFID""]",203,
data\raw\labor\AWHAETP.csv,AWHAETP,expected,8aecb176e6547d3e2143c8ce48401b08624caafe447f6beef9bc4564990f3af2,"[""observation_date"", ""AWHAETP""]",247,
data\raw\labor\AWHMAN.csv,AWHMAN,expected,f8bca392429bfdffb682eb4b222a56158e1016faea5e6d9d0e506a986b100a68,"[""observation_date"", ""AWHMAN""]",1053,
