left_edge,right_edge,observations
33.7,33.761904761904766,1
33.761904761904766,33.82380952380953,7
33.82380952380953,33.885714285714286,0
33.885714285714286,33.94761904761905,4
33.94761904761905,34.00952380952381,4
34.00952380952381,34.07142857142858,0
34.07142857142858,34.13333333333333,5
34.13333333333333,34.195238095238096,0
34.195238095238096,34.25714285714286,22
34.25714285714286,34.31904761904762,45
34.31904761904762,34.38095238095238,0
34.38095238095238,34.44285714285714,77
34.44285714285714,34.50476190476191,44
34.50476190476191,34.56666666666667,0
34.56666666666667,34.628571428571426,18
34.628571428571426,34.69047619047619,0
34.69047619047619,34.75238095238095,5
34.75238095238095,34.81428571428572,9
34.81428571428572,34.87619047619047,0
34.87619047619047,34.93809523809524,4
34.93809523809524,35.0,1
