left_edge,right_edge,observations
0.05,0.915909090909091,135
0.915909090909091,1.781818181818182,73
1.781818181818182,2.6477272727272725,63
2.6477272727272725,3.5136363636363637,92
3.5136363636363637,4.379545454545455,83
4.379545454545455,5.245454545454545,85
5.245454545454545,6.111363636363636,118
6.111363636363636,6.9772727272727275,48
6.9772727272727275,7.843181818181819,21
7.843181818181819,8.70909090909091,41
8.70909090909091,9.575000000000001,35
9.575000000000001,10.440909090909091,26
10.440909090909091,11.306818181818183,10
11.306818181818183,12.172727272727274,6
12.172727272727274,13.038636363636366,4
13.038636363636366,13.904545454545456,6
13.904545454545456,14.770454545454546,5
14.770454545454546,15.636363636363638,3
15.636363636363638,16.50227272727273,4
16.50227272727273,17.36818181818182,1
17.36818181818182,18.23409090909091,2
18.23409090909091,19.1,5
