Dataset 1,Dataset 2,Category 1,Category 2,Valid windows,First window end,Last window end,Latest window end,Latest correlation,Latest paired observations,Minimum correlation,Maximum correlation,Observed range
Real Retail & Food Services Sales,Total Capacity Utilization,Growth / Activity,External / Structural,356,1997-01-01,2026-08-01,2026-08-01,0.26630916049690073,57,-0.08950982472272274,0.8889728982140384,0.9784827229367611
Housing Starts,Building Permits,Growth / Activity,Growth / Activity,740,1965-01-01,2026-08-01,2026-08-01,0.04861518328564076,60,0.01691865575507138,0.6896229002910883,0.672704244536017
Housing Starts,Nonfarm Payroll Employment,Growth / Activity,Labor,752,1964-01-01,2026-08-01,2026-08-01,0.049012183157700236,60,-0.21755022619812853,0.5258816051270321,0.7434318313251607
Housing Starts,Unemployment Rate,Growth / Activity,Labor,752,1964-01-01,2026-08-01,2026-08-01,0.028631490831572976,58,-0.5032487432006089,0.1957066681200882,0.698955411320697
Housing Starts,Average Weekly Hours — Total Private,Growth / Activity,Labor,186,2011-03-01,2026-08-01,2026-08-01,0.11979243523546253,60,-0.2592093650705352,0.3477777903712028,0.6069871554417381
Housing Starts,Average Weekly Hours — Manufacturing,Growth / Activity,Labor,752,1964-01-01,2026-08-01,2026-08-01,0.09798322348351945,60,-0.16002767185702732,0.5561604004376063,0.7161880722946337
Housing Starts,Job Openings,Growth / Activity,Labor,249,2005-12-01,2026-08-01,2026-08-01,-0.2946771034935929,59,-0.296411103028801,0.5215360444590136,0.8179471474878146
Housing Starts,Labor Force Participation Rate,Growth / Activity,Labor,752,1964-01-01,2026-08-01,2026-08-01,-0.12673990275218172,58,-0.24638963788891582,0.47222093416429844,0.7186105720532143
Housing Starts,Average Hourly Earnings — Total Private,Growth / Activity,Labor,186,2011-03-01,2026-08-01,2026-08-01,-0.3033798851964402,60,-0.578582931768265,0.10436734212418093,0.682950273892446
Housing Starts,CPI All Items,Growth / Activity,Inflation,752,1964-01-01,2026-08-01,2026-08-01,-0.12229529693051093,58,-0.30161897672388815,0.4793335003048938,0.7809524770287819
Housing Starts,Core CPI,Growth / Activity,Inflation,752,1964-01-01,2026-08-01,2026-08-01,-0.03426154426035008,58,-0.45184501661707616,0.4862724179360139,0.93811743455309
Housing Starts,PCE Price Index,Growth / Activity,Inflation,752,1964-01-01,2026-08-01,2026-08-01,-0.06451632502995151,59,-0.27879432256157466,0.4683454264054617,0.7471397489670364
Housing Starts,Core PCE Price Index,Growth / Activity,Inflation,752,1964-01-01,2026-08-01,2026-08-01,0.0007766763766334127,59,-0.30502239352820554,0.5209066472918967,0.8259290408201023
Housing Starts,Producer Prices — Final Demand,Growth / Activity,Inflation,142,2014-11-01,2026-08-01,2026-08-01,-0.032674397858928395,60,-0.056412126151394536,0.44707939958511406,0.5034915257365086
Housing Starts,Producer Prices — All Commodities,Growth / Activity,Inflation,752,1964-01-01,2026-08-01,2026-08-01,-0.09853986267086462,60,-0.3356962753419946,0.46160822950099095,0.7973045048429855
Housing Starts,Commercial & Industrial Loans,Growth / Activity,Credit,752,1964-01-01,2026-08-01,2026-08-01,0.011779599976504601,60,-0.5413750812146126,0.21218631475607888,0.7535613959706915
Housing Starts,Consumer Credit,Growth / Activity,Credit,752,1964-01-01,2026-08-01,2026-08-01,-0.1930697489410142,59,-0.19359258961162742,0.44748540552953314,0.6410779951411606
Housing Starts,Federal Funds Rate,Growth / Activity,Policy / Liquidity,752,1964-01-01,2026-08-01,2026-08-01,-0.06569966938715846,60,-0.28690154827580555,0.3591651901713928,0.6460667384471983
Housing Starts,Total Bank Reserves,Growth / Activity,Policy / Liquidity,752,1964-01-01,2026-08-01,2026-08-01,0.028139550426742682,59,-0.5298123330647772,0.3863791391056719,0.916191472170449
Housing Starts,M2 Money Supply,Growth / Activity,Policy / Liquidity,752,1964-01-01,2026-08-01,2026-08-01,0.060116714328925035,59,-0.4823829990080747,0.4115943693438672,0.8939773683519419
Housing Starts,Total Capacity Utilization,Growth / Activity,External / Structural,656,1972-01-01,2026-08-01,2026-08-01,0.34502065337608184,59,-0.17490338500626218,0.6746401141850246,0.8495434991912867
Building Permits,Nonfarm Payroll Employment,Growth / Activity,Labor,740,1965-01-01,2026-08-01,2026-08-01,-0.014752251238798659,60,-0.24030531439610953,0.5770104770363642,0.8173157914324738
Building Permits,Unemployment Rate,Growth / Activity,Labor,740,1965-01-01,2026-08-01,2026-08-01,0.1754671776460485,58,-0.5826726236731523,0.28375590448252735,0.8664285281556796
Building Permits,Average Weekly Hours — Total Private,Growth / Activity,Labor,186,2011-03-01,2026-08-01,2026-08-01,0.05093958463547312,60,-0.20204886629446658,0.32873704937960446,0.5307859156740711
Building Permits,Average Weekly Hours — Manufacturing,Growth / Activity,Labor,740,1965-01-01,2026-08-01,2026-08-01,0.0525367144990369,60,-0.17666931693061508,0.6490973592767413,0.8257666762073563
Building Permits,Job Openings,Growth / Activity,Labor,249,2005-12-01,2026-08-01,2026-08-01,0.06582955192563882,59,-0.34431145627605086,0.6252260343155746,0.9695374905916254
Building Permits,Labor Force Participation Rate,Growth / Activity,Labor,740,1965-01-01,2026-08-01,2026-08-01,0.08159257582976188,58,-0.1588232168806123,0.5361006669488324,0.6949238838294447
Building Permits,Average Hourly Earnings — Total Private,Growth / Activity,Labor,186,2011-03-01,2026-08-01,2026-08-01,-0.057583694286125926,60,-0.6167556093046553,0.09498070165012602,0.7117363109547814
Building Permits,CPI All Items,Growth / Activity,Inflation,740,1965-01-01,2026-08-01,2026-08-01,0.050467038664566144,58,-0.3463868488905103,0.4647205317337391,0.8111073806242495
Building Permits,Core CPI,Growth / Activity,Inflation,740,1965-01-01,2026-08-01,2026-08-01,0.09302158902435285,58,-0.3930711721238459,0.4803594440139019,0.8734306161377479
Building Permits,PCE Price Index,Growth / Activity,Inflation,740,1965-01-01,2026-08-01,2026-08-01,0.03508653240419424,59,-0.32278416555057754,0.465048278490576,0.7878324440411535
Building Permits,Core PCE Price Index,Growth / Activity,Inflation,740,1965-01-01,2026-08-01,2026-08-01,0.027975515222737685,59,-0.3447032112152275,0.5114008315171428,0.8561040427323703
Building Permits,Producer Prices — Final Demand,Growth / Activity,Inflation,142,2014-11-01,2026-08-01,2026-08-01,0.1104003211907018,60,-0.10328289552986215,0.4396941265048694,0.5429770220347315
Building Permits,Producer Prices — All Commodities,Growth / Activity,Inflation,740,1965-01-01,2026-08-01,2026-08-01,0.011786848221224477,60,-0.4397066168678819,0.5546155587281649,0.9943221755960469
Building Permits,Commercial & Industrial Loans,Growth / Activity,Credit,740,1965-01-01,2026-08-01,2026-08-01,0.006745305461234742,60,-0.4935389191673371,0.22805208983865627,0.7215910090059934
Building Permits,Consumer Credit,Growth / Activity,Credit,740,1965-01-01,2026-08-01,2026-08-01,-0.023418192053173515,59,-0.3205409202085032,0.3410993578855974,0.6616402780941006
Building Permits,Federal Funds Rate,Growth / Activity,Policy / Liquidity,740,1965-01-01,2026-08-01,2026-08-01,-0.18397935915095115,60,-0.4795615959169913,0.4794673380221394,0.9590289339391307
Building Permits,Total Bank Reserves,Growth / Activity,Policy / Liquidity,740,1965-01-01,2026-08-01,2026-08-01,-0.07842364213666433,59,-0.5109606006839028,0.4149988165868529,0.9259594172707557
Building Permits,M2 Money Supply,Growth / Activity,Policy / Liquidity,740,1965-01-01,2026-08-01,2026-08-01,0.31726300288868897,59,-0.5047469462502584,0.5421129531208105,1.046859899371069
Building Permits,Total Capacity Utilization,Growth / Activity,External / Structural,656,1972-01-01,2026-08-01,2026-08-01,0.24719899380232868,59,-0.30415344987618365,0.6603077080163657,0.9644611578925494
Nonfarm Payroll Employment,Unemployment Rate,Labor,Labor,884,1953-01-01,2026-08-01,2026-08-01,-0.3971006324463653,58,-0.9954447147015836,0.3559131945702438,1.3513579092718273
Nonfarm Payroll Employment,Average Weekly Hours — Total Private,Labor,Labor,186,2011-03-01,2026-08-01,2026-08-01,0.18278024100038992,60,-0.15384709395256285,0.44462869389772963,0.5984757878502924
Nonfarm Payroll Employment,Average Weekly Hours — Manufacturing,Labor,Labor,992,1944-01-01,2026-08-01,2026-08-01,0.11331467719564252,60,-0.06108546932814196,0.9428326346184304,1.0039181039465723
Nonfarm Payroll Employment,Job Openings,Labor,Labor,249,2005-12-01,2026-08-01,2026-08-01,0.14753573076879115,59,0.08319520768099546,0.6491143402471384,0.565919132566143
Nonfarm Payroll Employment,Labor Force Participation Rate,Labor,Labor,884,1953-01-01,2026-08-01,2026-08-01,0.22317240633331592,58,-0.11806017686665911,0.9330216270971188,1.051081803963778
Nonfarm Payroll Employment,Average Hourly Earnings — Total Private,Labor,Labor,186,2011-03-01,2026-08-01,2026-08-01,0.1979039005524305,60,-0.9744270851028045,0.2190926606788491,1.1935197457816535
Nonfarm Payroll Employment,CPI All Items,Labor,Inflation,896,1952-01-01,2026-08-01,2026-08-01,0.5513338248638304,58,-0.41083491973396447,0.6270786200859093,1.0379135398198738
Nonfarm Payroll Employment,Core CPI,Labor,Inflation,776,1962-01-01,2026-08-01,2026-08-01,0.634995155761861,58,-0.4078027857543277,0.7890500595045314,1.1968528452588592
Nonfarm Payroll Employment,PCE Price Index,Labor,Inflation,752,1964-01-01,2026-08-01,2026-08-01,0.5112660533884494,59,-0.31152819786157465,0.568732944524792,0.8802611423863667
Nonfarm Payroll Employment,Core PCE Price Index,Labor,Inflation,752,1964-01-01,2026-08-01,2026-08-01,0.4724179192098579,59,-0.5112708214240367,0.6692838986308791,1.1805547200549158
Nonfarm Payroll Employment,Producer Prices — Final Demand,Labor,Inflation,142,2014-11-01,2026-08-01,2026-08-01,0.27093065560285406,60,-0.16018869027371396,0.5232188797009578,0.6834075699746718
Nonfarm Payroll Employment,Producer Prices — All Commodities,Labor,Inflation,992,1944-01-01,2026-08-01,2026-08-01,0.15696660175340588,60,-0.42947148420454817,0.6865398883035817,1.11601137250813
Nonfarm Payroll Employment,Commercial & Industrial Loans,Labor,Credit,896,1952-01-01,2026-08-01,2026-08-01,0.26434041590347107,60,-0.8506635237245077,0.6933870080922998,1.5440505318168074
Nonfarm Payroll Employment,Consumer Credit,Labor,Credit,944,1948-01-01,2026-08-01,2026-08-01,0.2734946945730266,59,-0.3242955711722321,0.7465650996133373,1.0708606707855695
Nonfarm Payroll Employment,Federal Funds Rate,Labor,Policy / Liquidity,806,1959-07-01,2026-08-01,2026-08-01,0.38347005252493954,60,-0.24830263847223405,0.7442330236985335,0.9925356621707675
Nonfarm Payroll Employment,Total Bank Reserves,Labor,Policy / Liquidity,752,1964-01-01,2026-08-01,2026-08-01,-0.04424154798297017,59,-0.8205636163659213,0.25549198881185625,1.0760556051777777
Nonfarm Payroll Employment,M2 Money Supply,Labor,Policy / Liquidity,752,1964-01-01,2026-08-01,2026-08-01,0.02047229539668248,59,-0.8988549169652774,0.5428175606755238,1.4416724776408012
Nonfarm Payroll Employment,Total Capacity Utilization,Labor,External / Structural,656,1972-01-01,2026-08-01,2026-08-01,0.22415790875788263,59,-0.27028042538654967,0.9341006157533535,1.2043810411399032
Unemployment Rate,Average Weekly Hours — Total Private,Labor,Labor,186,2011-03-01,2026-08-01,2026-08-01,-0.035278971726582106,58,-0.30781312081997925,0.16208505791501032,0.46989817873498957
Unemployment Rate,Average Weekly Hours — Manufacturing,Labor,Labor,884,1953-01-01,2026-08-01,2026-08-01,0.09677492298025396,58,-0.9332294798447743,0.23035808474877634,1.1635875645935507
Unemployment Rate,Job Openings,Labor,Labor,249,2005-12-01,2026-08-01,2026-08-01,-0.21139021646547979,57,-0.6363813304229652,0.13573685830975435,0.7721181887327195
Unemployment Rate,Labor Force Participation Rate,Labor,Labor,884,1953-01-01,2026-08-01,2026-08-01,-0.07055243223112456,58,-0.9258366670186122,0.5497434640398529,1.475580131058465
Unemployment Rate,Average Hourly Earnings — Total Private,Labor,Labor,186,2011-03-01,2026-08-01,2026-08-01,-0.2701025455536465,58,-0.32147003296223536,0.9695993708638823,1.2910694038261177
Unemployment Rate,CPI All Items,Labor,Inflation,884,1953-01-01,2026-08-01,2026-08-01,-0.28909620975630157,58,-0.6242547063002918,0.3789124908064402,1.003167197106732
Unemployment Rate,Core CPI,Labor,Inflation,776,1962-01-01,2026-08-01,2026-08-01,-0.22681055807624287,58,-0.782215907577041,0.4133048662755697,1.1955207738526106
Unemployment Rate,PCE Price Index,Labor,Inflation,752,1964-01-01,2026-08-01,2026-08-01,-0.2734611269119672,57,-0.5649430155412352,0.37819354070993816,0.9431365562511733
Unemployment Rate,Core PCE Price Index,Labor,Inflation,752,1964-01-01,2026-08-01,2026-08-01,-0.20901606485877602,57,-0.6677702184383069,0.39475332566652904,1.062523544104836
Unemployment Rate,Producer Prices — Final Demand,Labor,Inflation,142,2014-11-01,2026-08-01,2026-08-01,-0.120048526839834,58,-0.525375873137684,0.08030125922096876,0.6056771323586527
Unemployment Rate,Producer Prices — All Commodities,Labor,Inflation,884,1953-01-01,2026-08-01,2026-08-01,-0.08659364115486133,58,-0.691149381241887,0.2984235717861738,0.9895729530280608
Unemployment Rate,Commercial & Industrial Loans,Labor,Credit,884,1953-01-01,2026-08-01,2026-08-01,0.002573452591763034,58,-0.4712461051558349,0.8576018101128089,1.3288479152686439
Unemployment Rate,Consumer Credit,Labor,Credit,884,1953-01-01,2026-08-01,2026-08-01,-0.1428159350306965,57,-0.6716365155085174,0.42698220397283204,1.0986187194813495
Unemployment Rate,Federal Funds Rate,Labor,Policy / Liquidity,806,1959-07-01,2026-08-01,2026-08-01,0.09921877590867137,58,-0.5881634935374017,0.2914158351026129,0.8795793286400146
Unemployment Rate,Total Bank Reserves,Labor,Policy / Liquidity,752,1964-01-01,2026-08-01,2026-08-01,-0.1448834921237515,57,-0.3685578530660628,0.8235901301774728,1.1921479832435358
Unemployment Rate,M2 Money Supply,Labor,Policy / Liquidity,752,1964-01-01,2026-08-01,2026-08-01,-0.08864701727958092,57,-0.5449036716373957,0.9011624028326384,1.4460660744700342
Unemployment Rate,Total Capacity Utilization,Labor,External / Structural,656,1972-01-01,2026-08-01,2026-08-01,-0.05770695244361161,57,-0.9349157139255063,0.06847000549560976,1.003385719421116
Average Weekly Hours — Total Private,Average Weekly Hours — Manufacturing,Labor,Labor,186,2011-03-01,2026-08-01,2026-08-01,0.6048591194982824,60,0.014001108257606414,0.7129705689551004,0.698969460697494
Average Weekly Hours — Total Private,Job Openings,Labor,Labor,186,2011-03-01,2026-08-01,2026-08-01,0.3119943722674671,59,0.16088035817138238,0.449529513614229,0.28864915544284664
Average Weekly Hours — Total Private,Labor Force Participation Rate,Labor,Labor,186,2011-03-01,2026-08-01,2026-08-01,0.023576498440648713,58,-0.06746727825430372,0.2364491855414022,0.3039164637957059
Average Weekly Hours — Total Private,Average Hourly Earnings — Total Private,Labor,Labor,186,2011-03-01,2026-08-01,2026-08-01,-0.3879458916078856,60,-0.4609540314610128,0.1898166490365111,0.650770680497524
Average Weekly Hours — Total Private,CPI All Items,Labor,Inflation,186,2011-03-01,2026-08-01,2026-08-01,0.06719229229088211,58,-0.13442473700112223,0.3640961086220333,0.4985208456231555
Average Weekly Hours — Total Private,Core CPI,Labor,Inflation,186,2011-03-01,2026-08-01,2026-08-01,-0.03192758400613121,58,-0.3151138884010814,-0.0020282666576411368,0.31308562174344023
Average Weekly Hours — Total Private,PCE Price Index,Labor,Inflation,186,2011-03-01,2026-08-01,2026-08-01,-0.0009513776528595235,59,-0.05654659920386872,0.35207571407440974,0.40862231327827847
Average Weekly Hours — Total Private,Core PCE Price Index,Labor,Inflation,186,2011-03-01,2026-08-01,2026-08-01,-0.12553992855775067,59,-0.18147881405998673,0.07919910521810944,0.26067791927809614
Average Weekly Hours — Total Private,Producer Prices — Final Demand,Labor,Inflation,142,2014-11-01,2026-08-01,2026-08-01,-0.06187130498956246,60,-0.09201458719146414,0.36317578838263853,0.4551903755741027
Average Weekly Hours — Total Private,Producer Prices — All Commodities,Labor,Inflation,186,2011-03-01,2026-08-01,2026-08-01,0.009589081937535451,60,-0.05645885937122373,0.39635738730572784,0.4528162466769516
Average Weekly Hours — Total Private,Commercial & Industrial Loans,Labor,Credit,186,2011-03-01,2026-08-01,2026-08-01,0.21726111454075003,60,-0.2956598823818278,0.22771445709201912,0.5233743394738469
Average Weekly Hours — Total Private,Consumer Credit,Labor,Credit,186,2011-03-01,2026-08-01,2026-08-01,-0.02996157018371993,59,-0.2324003672082764,0.2883196733101534,0.5207200405184298
Average Weekly Hours — Total Private,Federal Funds Rate,Labor,Policy / Liquidity,186,2011-03-01,2026-08-01,2026-08-01,-0.059140514849834784,60,-0.2035099974836569,0.3866288317278893,0.5901388292115461
Average Weekly Hours — Total Private,Total Bank Reserves,Labor,Policy / Liquidity,186,2011-03-01,2026-08-01,2026-08-01,0.15499527168906205,59,-0.36630281450414226,0.30513840910286866,0.6714412236070109
Average Weekly Hours — Total Private,M2 Money Supply,Labor,Policy / Liquidity,186,2011-03-01,2026-08-01,2026-08-01,0.12421238882396654,59,-0.3151953271659021,0.3965004297098112,0.7116957568757133
Average Weekly Hours — Total Private,Total Capacity Utilization,Labor,External / Structural,186,2011-03-01,2026-08-01,2026-08-01,0.39003007657780847,59,-0.004425564588736292,0.6080416321029797,0.612467196691716
Average Weekly Hours — Manufacturing,Job Openings,Labor,Labor,249,2005-12-01,2026-08-01,2026-08-01,0.11588891452849899,59,-0.07780417660916629,0.6873475800462917,0.765151756655458
Average Weekly Hours — Manufacturing,Labor Force Participation Rate,Labor,Labor,884,1953-01-01,2026-08-01,2026-08-01,-0.1686081956016194,58,-0.33756923222391516,0.8908619534186243,1.2284311856425394
Average Weekly Hours — Manufacturing,Average Hourly Earnings — Total Private,Labor,Labor,186,2011-03-01,2026-08-01,2026-08-01,-0.1720234461523765,60,-0.924131100451827,0.2191035025432408,1.1432346029950677
Average Weekly Hours — Manufacturing,CPI All Items,Labor,Inflation,896,1952-01-01,2026-08-01,2026-08-01,-0.05182282447332706,58,-0.24648705646282978,0.5693228362372509,0.8158098927000806
Average Weekly Hours — Manufacturing,Core CPI,Labor,Inflation,776,1962-01-01,2026-08-01,2026-08-01,-0.1386993606938819,58,-0.251280837186985,0.7543471726923451,1.00562800987933
Average Weekly Hours — Manufacturing,PCE Price Index,Labor,Inflation,752,1964-01-01,2026-08-01,2026-08-01,-0.0033561267727137386,59,-0.21984704860073495,0.5562248453124015,0.7760718939131364
Average Weekly Hours — Manufacturing,Core PCE Price Index,Labor,Inflation,752,1964-01-01,2026-08-01,2026-08-01,-0.0155187954324857,59,-0.31500609245390165,0.6876825467476639,1.0026886392015655
Average Weekly Hours — Manufacturing,Producer Prices — Final Demand,Labor,Inflation,142,2014-11-01,2026-08-01,2026-08-01,0.1589228211184157,60,0.0460374401239188,0.5503974055298091,0.5043599654058903
Average Weekly Hours — Manufacturing,Producer Prices — All Commodities,Labor,Inflation,992,1944-01-01,2026-08-01,2026-08-01,0.07885614641410112,60,-0.22953942010071401,0.6871134634115116,0.9166528835122256
Average Weekly Hours — Manufacturing,Commercial & Industrial Loans,Labor,Credit,896,1952-01-01,2026-08-01,2026-08-01,0.11958834394643018,60,-0.7973292314936702,0.2557587963622167,1.053088027855887
Average Weekly Hours — Manufacturing,Consumer Credit,Labor,Credit,944,1948-01-01,2026-08-01,2026-08-01,-0.15020244686109202,59,-0.30661855961687745,0.528753368802756,0.8353719284196335
Average Weekly Hours — Manufacturing,Federal Funds Rate,Labor,Policy / Liquidity,806,1959-07-01,2026-08-01,2026-08-01,-0.1774422354312641,60,-0.26882509447990766,0.5207652233726251,0.7895903178525328
Average Weekly Hours — Manufacturing,Total Bank Reserves,Labor,Policy / Liquidity,752,1964-01-01,2026-08-01,2026-08-01,0.043023070563702075,59,-0.7838792425230715,0.18103747311087506,0.9649167156339465
Average Weekly Hours — Manufacturing,M2 Money Supply,Labor,Policy / Liquidity,752,1964-01-01,2026-08-01,2026-08-01,0.20763264884933114,59,-0.8565351019381567,0.5247769546135975,1.3813120565517543
Average Weekly Hours — Manufacturing,Total Capacity Utilization,Labor,External / Structural,656,1972-01-01,2026-08-01,2026-08-01,0.3751953120676953,59,0.10071936582723823,0.9220510254258583,0.82133165959862
Job Openings,Labor Force Participation Rate,Labor,Labor,249,2005-12-01,2026-08-01,2026-08-01,-0.0839159362519494,57,-0.08436063690861556,0.690614081535726,0.7749747184443416
Job Openings,Average Hourly Earnings — Total Private,Labor,Labor,186,2011-03-01,2026-08-01,2026-08-01,-0.02736223973433674,59,-0.6811404451158426,0.3123915855431882,0.9935320306590307
Job Openings,CPI All Items,Labor,Inflation,249,2005-12-01,2026-08-01,2026-08-01,0.2301940712094402,57,-0.17977819175754384,0.46889483555504263,0.6486730273125865
Job Openings,Core CPI,Labor,Inflation,249,2005-12-01,2026-08-01,2026-08-01,0.0846035177990502,57,-0.2339273144469068,0.5638481525057921,0.7977754669526989
Job Openings,PCE Price Index,Labor,Inflation,249,2005-12-01,2026-08-01,2026-08-01,0.15369572918941932,59,-0.19329661175658042,0.5336183189564279,0.7269149307130083
Job Openings,Core PCE Price Index,Labor,Inflation,249,2005-12-01,2026-08-01,2026-08-01,-0.021776686943329886,59,-0.33193434939976385,0.5467862563423174,0.8787206057420812
Job Openings,Producer Prices — Final Demand,Labor,Inflation,142,2014-11-01,2026-08-01,2026-08-01,0.23815750503313243,59,-0.04217164155462715,0.5976814632077456,0.6398531047623728
Job Openings,Producer Prices — All Commodities,Labor,Inflation,249,2005-12-01,2026-08-01,2026-08-01,0.19770537468752195,59,-0.13076650044551263,0.679000596900841,0.8097670973463537
Job Openings,Commercial & Industrial Loans,Labor,Credit,249,2005-12-01,2026-08-01,2026-08-01,0.053844189169359055,59,-0.613967485029739,0.24945792855176732,0.8634254135815063
Job Openings,Consumer Credit,Labor,Credit,249,2005-12-01,2026-08-01,2026-08-01,0.06846043127558113,59,-0.08209532054082967,0.3079000865523374,0.3899954070931671
Job Openings,Federal Funds Rate,Labor,Policy / Liquidity,249,2005-12-01,2026-08-01,2026-08-01,-0.1413576507487834,59,-0.21935410881270737,0.5571041110341134,0.7764582198468207
Job Openings,Total Bank Reserves,Labor,Policy / Liquidity,249,2005-12-01,2026-08-01,2026-08-01,0.05672770528226341,59,-0.5810368261848796,0.2941207804373468,0.8751576066222264
Job Openings,M2 Money Supply,Labor,Policy / Liquidity,249,2005-12-01,2026-08-01,2026-08-01,0.08644995962750344,59,-0.6456148240447599,0.6302958745315098,1.2759106985762698
Job Openings,Total Capacity Utilization,Labor,External / Structural,249,2005-12-01,2026-08-01,2026-08-01,0.08687325183677375,59,-0.29152479401364934,0.6589916291408158,0.9505164231544652
Labor Force Participation Rate,Average Hourly Earnings — Total Private,Labor,Labor,186,2011-03-01,2026-08-01,2026-08-01,3.5847481011212405e-05,58,-0.9061118176098648,0.28335301586442085,1.1894648334742857
Labor Force Participation Rate,CPI All Items,Labor,Inflation,884,1953-01-01,2026-08-01,2026-08-01,0.26305255556670004,58,-0.22848349139452476,0.6140239353338278,0.8425074267283525
Labor Force Participation Rate,Core CPI,Labor,Inflation,776,1962-01-01,2026-08-01,2026-08-01,0.2795065989189215,58,-0.3176168427326234,0.770322456125256,1.0879392988578793
Labor Force Participation Rate,PCE Price Index,Labor,Inflation,752,1964-01-01,2026-08-01,2026-08-01,0.19275810508926225,57,-0.27246760869015446,0.5644239423452193,0.8368915510353738
Labor Force Participation Rate,Core PCE Price Index,Labor,Inflation,752,1964-01-01,2026-08-01,2026-08-01,0.14509445024980058,57,-0.37633599562245995,0.6677769080739744,1.0441129036964343
Labor Force Participation Rate,Producer Prices — Final Demand,Labor,Inflation,142,2014-11-01,2026-08-01,2026-08-01,0.06220021760295851,58,-0.13737466771645385,0.4945979487288215,0.6319726164452754
Labor Force Participation Rate,Producer Prices — All Commodities,Labor,Inflation,884,1953-01-01,2026-08-01,2026-08-01,0.09383892273376916,58,-0.25402839571065566,0.6674432184185042,0.9214716141291599
Labor Force Participation Rate,Commercial & Industrial Loans,Labor,Credit,884,1953-01-01,2026-08-01,2026-08-01,-0.14398271260173617,58,-0.8555342281230447,0.37006504300469373,1.2255992711277384
Labor Force Participation Rate,Consumer Credit,Labor,Credit,884,1953-01-01,2026-08-01,2026-08-01,0.003113651825813201,57,-0.3516274280015632,0.5885474023769898,0.940174830378553
Labor Force Participation Rate,Federal Funds Rate,Labor,Policy / Liquidity,806,1959-07-01,2026-08-01,2026-08-01,0.14130180260200814,58,-0.20034500884166112,0.6127819825832039,0.8131269914248651
Labor Force Participation Rate,Total Bank Reserves,Labor,Policy / Liquidity,752,1964-01-01,2026-08-01,2026-08-01,-0.053485234562364564,57,-0.8018880233811562,0.3574202587938342,1.1593082821749903
Labor Force Participation Rate,M2 Money Supply,Labor,Policy / Liquidity,752,1964-01-01,2026-08-01,2026-08-01,-0.05431870706513527,57,-0.883880227870425,0.4183050968712304,1.3021853247416555
Labor Force Participation Rate,Total Capacity Utilization,Labor,External / Structural,656,1972-01-01,2026-08-01,2026-08-01,0.05433814680657015,57,-0.27621721011541317,0.8653944028363082,1.1416116129517213
Average Hourly Earnings — Total Private,CPI All Items,Labor,Inflation,186,2011-03-01,2026-08-01,2026-08-01,0.10302742621116547,58,-0.5634046049950837,0.1881341078379498,0.7515387128330335
Average Hourly Earnings — Total Private,Core CPI,Labor,Inflation,186,2011-03-01,2026-08-01,2026-08-01,0.2354636674501271,58,-0.780383978195284,0.37801214589695376,1.1583961240922378
Average Hourly Earnings — Total Private,PCE Price Index,Labor,Inflation,186,2011-03-01,2026-08-01,2026-08-01,0.100898707347954,59,-0.5003789746781148,0.21802671125029202,0.7184056859284068
Average Hourly Earnings — Total Private,Core PCE Price Index,Labor,Inflation,186,2011-03-01,2026-08-01,2026-08-01,0.17909724672366442,59,-0.6440919946268486,0.30933009689774527,0.9534220915245939
Average Hourly Earnings — Total Private,Producer Prices — Final Demand,Labor,Inflation,142,2014-11-01,2026-08-01,2026-08-01,0.11629627836356103,60,-0.5187504901696625,0.231457497399641,0.7502079875693035
Average Hourly Earnings — Total Private,Producer Prices — All Commodities,Labor,Inflation,186,2011-03-01,2026-08-01,2026-08-01,-0.03163285275006776,60,-0.6785020042334057,0.1244525979701841,0.8029546022035898
Average Hourly Earnings — Total Private,Commercial & Industrial Loans,Labor,Credit,186,2011-03-01,2026-08-01,2026-08-01,-0.034532240756957384,60,-0.10957719058167702,0.8486360490321281,0.9582132396138051
Average Hourly Earnings — Total Private,Consumer Credit,Labor,Credit,186,2011-03-01,2026-08-01,2026-08-01,0.20771255626804316,59,-0.5929928982728626,0.22215155193775804,0.8151444502106207
Average Hourly Earnings — Total Private,Federal Funds Rate,Labor,Policy / Liquidity,186,2011-03-01,2026-08-01,2026-08-01,0.08934246888819447,60,-0.5303479370490648,0.0996828815595583,0.6300308186086231
Average Hourly Earnings — Total Private,Total Bank Reserves,Labor,Policy / Liquidity,186,2011-03-01,2026-08-01,2026-08-01,-0.1894963500178596,59,-0.24930783367201478,0.7941818159214269,1.0434896495934416
Average Hourly Earnings — Total Private,M2 Money Supply,Labor,Policy / Liquidity,186,2011-03-01,2026-08-01,2026-08-01,-0.07968622775054597,59,-0.5290688357249427,0.8903600128623549,1.4194288485872977
Average Hourly Earnings — Total Private,Total Capacity Utilization,Labor,External / Structural,186,2011-03-01,2026-08-01,2026-08-01,-0.26407094666889197,59,-0.9036088483741586,0.15732228084091857,1.0609311292150772
CPI All Items,Core CPI,Inflation,Inflation,776,1962-01-01,2026-08-01,2026-08-01,0.6395154683809167,58,-0.027269307910492632,0.8880866739739577,0.9153559818844503
CPI All Items,PCE Price Index,Inflation,Inflation,752,1964-01-01,2026-08-01,2026-08-01,0.928610418579691,57,0.5063937038641348,0.9880355130995658,0.481641809235431
