left_edge,right_edge,observations
64.0847,65.41656842105263,2
65.41656842105263,66.74843684210526,1
66.74843684210526,68.0803052631579,4
68.0803052631579,69.41217368421053,4
69.41217368421053,70.74404210526315,4
70.74404210526315,72.07591052631578,8
72.07591052631578,73.40777894736841,10
73.40777894736841,74.73964736842105,27
74.73964736842105,76.07151578947368,67
76.07151578947368,77.40338421052631,93
77.40338421052631,78.73525263157894,78
78.73525263157894,80.06712105263158,79
80.06712105263158,81.3989894736842,97
81.3989894736842,82.73085789473683,52
82.73085789473683,84.06272631578946,72
84.06272631578946,85.3945947368421,48
85.3945947368421,86.72646315789473,25
86.72646315789473,88.05833157894736,31
88.05833157894736,89.3902,13
