left_edge,right_edge,observations
2.5,2.973076923076923,13
2.973076923076923,3.4461538461538463,29
3.4461538461538463,3.9192307692307695,110
3.9192307692307695,4.392307692307693,93
4.392307692307693,4.865384615384615,86
4.865384615384615,5.338461538461539,106
5.338461538461539,5.811538461538461,147
5.811538461538461,6.284615384615385,81
6.284615384615385,6.757692307692308,51
6.757692307692308,7.230769230769231,63
7.230769230769231,7.703846153846154,60
7.703846153846154,8.176923076923078,21
8.176923076923078,8.65,23
8.65,9.123076923076923,18
9.123076923076923,9.596153846153847,14
9.596153846153847,10.06923076923077,14
10.06923076923077,10.542307692307693,9
10.542307692307693,11.015384615384615,3
11.015384615384615,11.48846153846154,0
11.48846153846154,11.961538461538462,0
11.961538461538462,12.434615384615386,0
12.434615384615386,12.907692307692308,0
12.907692307692308,13.380769230769232,1
13.380769230769232,13.853846153846154,0
13.853846153846154,14.326923076923078,0
14.326923076923078,14.8,1
