left_edge,right_edge,observations
37.0,37.193333333333335,2
37.193333333333335,37.38666666666667,6
37.38666666666667,37.58,4
37.58,37.77333333333333,1
37.77333333333333,37.96666666666667,1
37.96666666666667,38.160000000000004,3
38.160000000000004,38.35333333333333,0
38.35333333333333,38.54666666666667,5
38.54666666666667,38.74,2
38.74,38.93333333333334,9
38.93333333333334,39.126666666666665,17
39.126666666666665,39.32,20
39.32,39.513333333333335,26
39.513333333333335,39.70666666666667,34
39.70666666666667,39.9,15
39.9,40.093333333333334,47
40.093333333333334,40.28666666666667,64
40.28666666666667,40.480000000000004,97
40.480000000000004,40.67333333333333,141
40.67333333333333,40.86666666666667,104
40.86666666666667,41.06,88
41.06,41.25333333333334,83
41.25333333333334,41.446666666666665,80
41.446666666666665,41.64,54
41.64,41.833333333333336,56
41.833333333333336,42.02666666666667,34
42.02666666666667,42.22,15
42.22,42.413333333333334,3
42.413333333333334,42.60666666666667,0
42.60666666666667,42.800000000000004,2
42.800000000000004,42.99333333333333,0
42.99333333333333,43.18666666666667,2
43.18666666666667,43.38,2
43.38,43.57333333333334,1
43.57333333333334,43.766666666666666,1
43.766666666666666,43.96,0
43.96,44.153333333333336,0
44.153333333333336,44.34666666666667,3
44.34666666666667,44.54,1
44.54,44.733333333333334,4
44.733333333333334,44.92666666666667,1
44.92666666666667,45.120000000000005,2
45.120000000000005,45.31333333333333,6
45.31333333333333,45.50666666666667,12
45.50666666666667,45.7,4
